EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
LIBERTAD,LABOR MINERA,BOCAMINA,MANTARO,AYACUCHO,CANGALLO,PARAS,-13.34659070,-74.59597271,010373894;010276608;010281108;010047803,ATUNSULLA;MAURO 18;NIÑOBAMBA 08;SAGOLLAN 2-03,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;MINERA NEWCREST PERU S.A.C.;MINERA NIÑOBAMBA S.R.L.;MINERA SILEX PERU S.R.L.;NEWMONT PERU S.R.L.,NO IDENTIFICADO,---,---,35,2
LIBERTAD,RESIDUO MINERO,DESMONTE DE MINA,MANTARO,AYACUCHO,CANGALLO,PARAS,-13.34988550,-74.59811887,010373894;010276608;010281108;010047803,ATUNSULLA;MAURO 18;NIÑOBAMBA 08;SAGOLLAN 2-03,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;MINERA NEWCREST PERU S.A.C.;MINERA NIÑOBAMBA S.R.L.;MINERA SILEX PERU S.R.L.;NEWMONT PERU S.R.L.,NO IDENTIFICADO,---,---,25,1
EL MILAGRO,LABOR MINERA,BOCAMINA,PAMPAS,AYACUCHO,CANGALLO,PARAS,-13.37265202,-74.87333456,010311395;590002309;010036201;010365996;010082699;010313608,COBRE SEIS;JULIA VII 2009;JUPITER TRECE;NUEVO COBRE SEIS;VICTORIA 99 NI;WACA PURO,"BERNAL TELLO, EDGARDO RODOLFO;COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;CORPORACION MINERA CASTROVIRREYNA S.A.;INSUMOS NO METALICOS Y QUIMICOS DE EXPORTACION E IMPORTACION S.A.;INVERSIONES MINERAS EL PUENTE S.A.;MANTURANO ROJAS, JAVIER AQUILES;MEDRANO COCHACHI, CORNELIO;SOUTHERN PERU LIMITED, SUCURSAL DEL PERU;VERA TORRES, HENRY MOISES",NO IDENTIFICADO,---,---,33,2
LIBERTAD,LABOR MINERA,BOCAMINA,MANTARO,AYACUCHO,CANGALLO,PARAS,-13.34743064,-74.59535261,010373894;010033606;010267203,ATUNSULLA;CHANCA 908;OSO 23,"BEAR CREEK MINING COMPANY SUCURSAL DEL PERÚ;COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;MINERA NIÑOBAMBA S.R.L.;NEWMONT PERU S.R.L.;SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,24,1
LIBERTAD,LABOR MINERA,BOCAMINA,MANTARO,AYACUCHO,CANGALLO,PARAS,-13.34769326,-74.59560150,010373894;010033606;010267203,ATUNSULLA;CHANCA 908;OSO 23,"BEAR CREEK MINING COMPANY SUCURSAL DEL PERÚ;COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;MINERA NIÑOBAMBA S.R.L.;NEWMONT PERU S.R.L.;SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,33,2
LIBERTAD,LABOR MINERA,BOCAMINA,MANTARO,AYACUCHO,CANGALLO,PARAS,-13.34736330,-74.59849241,010373894;010276608;010281108;010047803,ATUNSULLA;MAURO 18;NIÑOBAMBA 08;SAGOLLAN 2-03,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;MINERA NEWCREST PERU S.A.C.;MINERA NIÑOBAMBA S.R.L.;MINERA SILEX PERU S.R.L.;NEWMONT PERU S.R.L.,NO IDENTIFICADO,---,---,37,2
LIBERTAD,RESIDUO MINERO,DESMONTE DE MINA,MANTARO,AYACUCHO,CANGALLO,PARAS,-13.34753500,-74.59842749,010373894;010276608;010281108;010047803,ATUNSULLA;MAURO 18;NIÑOBAMBA 08;SAGOLLAN 2-03,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;MINERA NEWCREST PERU S.A.C.;MINERA NIÑOBAMBA S.R.L.;MINERA SILEX PERU S.R.L.;NEWMONT PERU S.R.L.,NO IDENTIFICADO,---,---,24,1
EL MILAGRO (PAMPAS),LABOR MINERA,BOCAMINA,PAMPAS,AYACUCHO,CANGALLO,PARAS,-13.37734639,-74.87604741,010422495;010000307U;010036201;010037201;010037301;010172199A,DON LUCHO 2;EL MILAGRO;JUPITER TRECE;PUCAMACHAY 5;WILLY CINCO;WILLY CINCO,"ACEVEDO CHAVEZ, JULIO CESAR;BARRIONUEVO TOLENTINO, HECTOR;COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;CORPORACION MINERA CASTROVIRREYNA S.A.;MAYTA TORRES, OSCAR;MEDRANO COCHACHI, CORNELIO;MINERA PHELPS DODGE DEL PERU S.A.;ROSAS ZAGAZETA, JOSE CARLOS;S.M.R.L. DON LUCHO 2",NO IDENTIFICADO,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,Plan de Cierre del Proyecto de Exploración EL MILAGRO,0,1
EL MILAGRO (PAMPAS),RESIDUO MINERO,DESMONTE DE MINA,PAMPAS,AYACUCHO,CANGALLO,PARAS,-13.37734639,-74.87604741,010422495;010000307U;010036201;010037201;010037301;010172199A,DON LUCHO 2;EL MILAGRO;JUPITER TRECE;PUCAMACHAY 5;WILLY CINCO;WILLY CINCO,"ACEVEDO CHAVEZ, JULIO CESAR;BARRIONUEVO TOLENTINO, HECTOR;COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;CORPORACION MINERA CASTROVIRREYNA S.A.;MAYTA TORRES, OSCAR;MEDRANO COCHACHI, CORNELIO;MINERA PHELPS DODGE DEL PERU S.A.;ROSAS ZAGAZETA, JOSE CARLOS;S.M.R.L. DON LUCHO 2",NO IDENTIFICADO,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,Plan de Cierre del Proyecto de Exploración EL MILAGRO,0,1
EL MILAGRO (PAMPAS),LABOR MINERA,BOCAMINA,PAMPAS,AYACUCHO,CANGALLO,PARAS,-13.37749121,-74.87634287,010422495;010000307U;010036201;010037201;010037301;010172199A,DON LUCHO 2;EL MILAGRO;JUPITER TRECE;PUCAMACHAY 5;WILLY CINCO;WILLY CINCO,"ACEVEDO CHAVEZ, JULIO CESAR;BARRIONUEVO TOLENTINO, HECTOR;COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;CORPORACION MINERA CASTROVIRREYNA S.A.;MAYTA TORRES, OSCAR;MEDRANO COCHACHI, CORNELIO;MINERA PHELPS DODGE DEL PERU S.A.;ROSAS ZAGAZETA, JOSE CARLOS;S.M.R.L. DON LUCHO 2",NO IDENTIFICADO,COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.,Plan de Cierre del Proyecto de Exploración EL MILAGRO,0,1
