EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09326826,-76.84466426,010380796;07002600X01;010027198;07002569X01,CHONTITA;LANACHONTA-I;MINA CHONTA 5;MINA SAN HILARION,"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,31,2
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09264088,-76.84369369,010380796;07002600X01;010027198;07002569X01,CHONTITA;LANACHONTA-I;MINA CHONTA 5;MINA SAN HILARION,"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,25,1
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09260283,-76.84403101,010380796;07002600X01;010027198;07002569X01,CHONTITA;LANACHONTA-I;MINA CHONTA 5;MINA SAN HILARION,"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,33,2
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09094370,-76.84488821,010380796;07002600X01;010027198;07002569X01,CHONTITA;LANACHONTA-I;MINA CHONTA 5;MINA SAN HILARION,"COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,33,2
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09433848,-76.84404089,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,33,2
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09465431,-76.84414304,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,31,2
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09508817,-76.84415464,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,39,3
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09521748,-76.84366275,010086511;010380796;010130611;07002600X01;07002569X01;010145111;010104311;010147311,CHONTALA 1;CHONTITA;HILARION 67;LANACHONTA-I;MINA SAN HILARION;MINORVA 2011-4;TOMEN DOS;YANAHUANCA 2011,"COMPAÑIA MINERA ARES S.A.C.;COMPAÑIA MINERA MILPO S.A.A.;CONTAYCOCHA S.R.L.;FRESNILLO PERU S.A.C.;LLANOS CREDY, ALBERTO ELIODORO;MINERA ORO VEGA S.A.C.;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO;TORREBLANCA BENAVENTE, GODOFREDO",NO IDENTIFICADO,---,---,37,2
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09620058,-76.84406974,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,35,2
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09631750,-76.84094132,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,57,4
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09635664,-76.84202715,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,49,3
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09565053,-76.84543501,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,29,2
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09458556,-76.84350407,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,51,4
LANACHONTA,INFRAESTRUCTURA,PLANTAS DE PROCESAMIENTO,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09530503,-76.84578883,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,35,2
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09860527,-76.84567992,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,51,4
LANACHONTA,INFRAESTRUCTURA,"CAMPAMENTOS, OFICINAS, TALLERES",ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09595881,-76.84527256,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,31,2
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09602367,-76.84499013,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,41,3
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09758668,-76.84353940,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,37,2
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09749786,-76.84325609,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,33,2
LANACHONTA,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09732201,-76.84237018,010380796;07002600X01;07002569X01,CHONTITA;LANACHONTA-I;MINA SAN HILARION,"CONTAYCOCHA S.R.L.;LLANOS CREDY, ALBERTO ELIODORO;MINERA SOLITARIO PERU S.A.C.;S.M.R.L. LANACHONTA- I DE HUANUCO;S.M.R.L. SAN HILARION DE HUANUCO",NO IDENTIFICADO,---,---,33,2
LANACHONTA,LABOR MINERA,BOCAMINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09642470,-76.84117000,"10086511, 10380796, 10130611, 07002600X01, 07002569X01, 10145111, 10104311, 10147311","CHONTALA 1, HILARION 67, CHONTITA, LANACHONTA-I, MINA SAN HILARION, MINORVA 2011-4, TOMEN DOS, YANAHUANCA 2011","FRESNILLO PERU S.A.C., COMPAÑÍA MINERA MILPO S.A.A., LLANOS CREDY, ALBERTO ELIODORO, MINERA SOLITARIO PERU S.A.C., S.M.R.L. SAN HILARION DE HUANUCO, MINERA ORO VEGA S.A.C., TORREBLANCA BENAVENTE, GODOFREDO, COMPAÑÍA MINERA ARES S.A.C.",NO IDENTIFICADO,---,---,41,3
LANACHONTA,LABOR MINERA,BOCAMINA,ALTO MARAÑON,HUANUCO,LAURICOCHA,BAÑOS,-10.09548005,-76.84520597,"10086511, 10380796, 10130611, 07002600X01, 07002569X01, 10145111, 10104311, 10147311","CHONTALA 1, HILARION 67, CHONTITA, LANACHONTA-I, MINA SAN HILARION, MINORVA 2011-4, TOMEN DOS, YANAHUANCA 2011","FRESNILLO PERU S.A.C., COMPAÑÍA MINERA MILPO S.A.A., LLANOS CREDY, ALBERTO ELIODORO, MINERA SOLITARIO PERU S.A.C., S.M.R.L. SAN HILARION DE HUANUCO, MINERA ORO VEGA S.A.C., TORREBLANCA BENAVENTE, GODOFREDO, COMPAÑÍA MINERA ARES S.A.C.",NO IDENTIFICADO,---,---,49,3
