EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
MERCEDES 3,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,ANCASH,BOLOGNESI,HUALLANCA,-9.89370784,-76.97501155,"010000882U, 07001189X01, 07001456X01","ATLANTA, PURISIMA, VIRGEN DEL CARMEN F","RECAVARREN BARRENECHEA, CARLOS OCTAVIO, RECAVARREN BARRENECHEA, CARLOS OCTAVIO, RECAVARREN ASTETE, OCTAVIO",NO IDENTIFICADO,---,---,24,1
MERCEDES 3,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,ANCASH,BOLOGNESI,HUALLANCA,-9.89796792,-76.97613099,"07001292X01, 010001171U","HUANZALA SUR-8, SANTA LUISA",COMPAÑÍA MINERA STA LUISA S.A.,NO IDENTIFICADO,---,---,25,1
MERCEDES 3,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,ANCASH,BOLOGNESI,HUALLANCA,-9.89575063,-76.97657355,"07001292X01, 010001171U","HUANZALA SUR-8, SANTA LUISA",COMPAÑÍA MINERA STA LUISA S.A.,NO IDENTIFICADO,---,---,24,1
MERCEDES 3,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,ANCASH,BOLOGNESI,HUALLANCA,-9.89488204,-76.97363287,"010000882U, 07001189X01","ATLANTA, PURISIMA","RECAVARREN BARRENECHEA, CARLOS OCTAVIO",NO IDENTIFICADO,---,---,31,2
MERCEDES 3,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,ANCASH,BOLOGNESI,HUALLANCA,-9.89582702,-76.97588116,"07001292X01, 010001171U","HUANZALA SUR-8, SANTA LUISA",COMPAÑÍA MINERA STA LUISA S.A.,NO IDENTIFICADO,---,---,24,1
MERCEDES 3,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,ANCASH,BOLOGNESI,HUALLANCA,-9.89817081,-76.97544847,"07001292X01, 010001171U","HUANZALA SUR-8, SANTA LUISA",COMPAÑÍA MINERA STA LUISA S.A.,NO IDENTIFICADO,---,---,24,1
MERCEDES 3,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,ANCASH,BOLOGNESI,HUALLANCA,-9.89596041,-76.97625573,"07001292X01, 010001171U","HUANZALA SUR-8, SANTA LUISA",COMPAÑÍA MINERA STA LUISA S.A.,NO IDENTIFICADO,---,---,20,1
MERCEDES 3,RESIDUO MINERO,DESMONTE DE MINA,ALTO MARAÑON,ANCASH,BOLOGNESI,HUALLANCA,-9.89671978,-76.97471048,"07001292X01, 010001171U","HUANZALA SUR-8, SANTA LUISA",COMPAÑÍA MINERA STA LUISA S.A.,NO IDENTIFICADO,---,---,27,2
MERCEDES 3,INFRAESTRUCTURA,NO DETERMINADO,ALTO MARAÑON,ANCASH,BOLOGNESI,HUALLANCA,-9.89870428,-76.97542431,"07001292X01, 010001171U","HUANZALA SUR-8, SANTA LUISA",COMPAÑÍA MINERA STA LUISA S.A.,NO IDENTIFICADO,---,---,20,1
MERCEDES 3,INFRAESTRUCTURA,NO DETERMINADO,ALTO MARAÑON,ANCASH,BOLOGNESI,HUALLANCA,-9.89724130,-76.97671922,"010000882U, 07001189X01","ATLANTA, PURISIMA","RECAVARREN BARRENECHEA, CARLOS OCTAVIO",NO IDENTIFICADO,---,---,18,1
