EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
LA YEGUA,LABOR MINERA,MEDIA BARRETA,APURIMAC,APURIMAC,ABANCAY,CHACOCHE,-14.01149491,-73.00729155,010252604;010248299,LA YEGUA 5;MIRENA 11,BEAR CREEK MINING COMPANY SUCURSAL DEL PERÚ; MINERA ANACONDA PERU S.A.,NO IDENTIFICADO,---,---,25,1
LA YEGUA,LABOR MINERA,MEDIA BARRETA,APURIMAC,APURIMAC,ABANCAY,CHACOCHE,-14.00443636,-73.00832423,10242504,LA YEGUA 3,BEAR CREEK MINING COMPANY SUCURSAL DEL PERÚ,NO IDENTIFICADO,---,---,22,1
LA YEGUA,RESIDUO MINERO,DESMONTE DE MINA,APURIMAC,APURIMAC,ABANCAY,CHACOCHE,-13.99840800,-72.99618737,010209198;010242504,JHANET I;LA YEGUA 3,S.M.R.L. JHANET I; BEAR CREEK MINING COMPANY SUCURSAL DEL PERÚ,NO IDENTIFICADO,---,---,20,1
ANTABAMBA,LABOR MINERA,BOCAMINA,APURIMAC,APURIMAC,ANTABAMBA,ANTABAMBA,-14.47852582,-72.64930431,010190503;010183903;05005365X01;010183503,ANTABAMBA 13;ANTABAN DOS;EL ROSARIO;JULIANA DOS,"COMPAÑIA MINERA ARCATA S.A.;COMPAÑIA MINERA SAN JORGE S.A.;ECHEVARRIA SILVA SANTISTEBAN, LUIS ALBERTO GUILLERMO;MINAS DE ARCATA S.A.;MINERA ABX EXPLORACIONES S.A.;MINERA ORO VEGA S.A.C.;PLACER DOME DEL PERU S.A.C.;SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,39,3
ANTABAMBA,RESIDUO MINERO,DESMONTE DE MINA,APURIMAC,APURIMAC,ANTABAMBA,ANTABAMBA,-14.49453862,-72.66862827,010190603;010183803;010183403;05005364X01,ANTABAMBA 12;ANTABAN UNO;JULIANA UNO;SANTO DOMINGO,"COMPAÑIA MINERA ARCATA S.A.;ECHEVARRIA SILVA SANTISTEBAN, LUIS ALBERTO GUILLERMO;MINAS DE ARCATA S.A.;MINERA ABX EXPLORACIONES S.A.;MINERA ORO VEGA S.A.C.;PLACER DOME DEL PERU S.A.C.;SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,35,2
ANTABAMBA,LABOR MINERA,BOCAMINA,APURIMAC,APURIMAC,ANTABAMBA,ANTABAMBA,-14.49376499,-72.64993193,010190603;010183803;010183403;05005364X01;010247594,ANTABAMBA 12;ANTABAN UNO;JULIANA UNO;SANTO DOMINGO;SANTO DOMINGO 3,"COMPAÑIA MINERA ARCATA S.A.;ECHEVARRIA SILVA SANTISTEBAN, LUIS ALBERTO GUILLERMO;MINAS DE ARCATA S.A.;MINERA ABX EXPLORACIONES S.A.;MINERA ORO VEGA S.A.C.;PLACER DOME DEL PERU S.A.C.;SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,41,3
ANTABAMBA,INFRAESTRUCTURA,"CAMPAMENTOS, OFICINAS, TALLERES",APURIMAC,APURIMAC,ANTABAMBA,ANTABAMBA,-14.48959964,-72.65442696,010064610;010190603;010183803;010052210;010083110;010183403;05005364X01;010247594;010073510;010055610,ANTABAMBA 101;ANTABAMBA 12;ANTABAN UNO;CRISTIANA 3;DEUS 12;JULIANA UNO;SANTO DOMINGO;SANTO DOMINGO DOS;SANTO DOMINGO 3;YANACHACCCHA I 2010,"ANGELES CHUQUIRUNA, CLEMENTE EDWIN;COMPAÑIA MINERA ARCATA S.A.;ECHEVARRIA SILVA SANTISTEBAN, LUIS ALBERTO GUILLERMO;FRESNILLO PERU S.A.C.;MINAS DE ARCATA S.A.;MINERA ABX EXPLORACIONES S.A.;MINERA ACAVILLE S.A.C.;MINERA BATEAS S.A.C.;MINERA FOCUS S.A.C.;MINERA ORO VEGA S.A.C.;PLACER DOME DEL PERU S.A.C.;SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,18,1
ANTABAMBA,LABOR MINERA,PIQUE,APURIMAC,APURIMAC,ANTABAMBA,ANTABAMBA,-14.48569876,-72.65012822,010064610;010190603;010183803;010052210;010083110;010183403;05005364X01;010247594;010073510;010055610,ANTABAMBA 101;ANTABAMBA 12;ANTABAN UNO;CRISTIANA 3;DEUS 12;JULIANA UNO;SANTO DOMINGO;SANTO DOMINGO DOS;SANTO DOMINGO 3;YANACHACCCHA I 2010,"ANGELES CHUQUIRUNA, CLEMENTE EDWIN;COMPAÑIA MINERA ARCATA S.A.;ECHEVARRIA SILVA SANTISTEBAN, LUIS ALBERTO GUILLERMO;FRESNILLO PERU S.A.C.;MINAS DE ARCATA S.A.;MINERA ABX EXPLORACIONES S.A.;MINERA ACAVILLE S.A.C.;MINERA BATEAS S.A.C.;MINERA FOCUS S.A.C.;MINERA ORO VEGA S.A.C.;PLACER DOME DEL PERU S.A.C.;SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,41,3
ANTABAMBA,LABOR MINERA,BOCAMINA,APURIMAC,APURIMAC,ANTABAMBA,ANTABAMBA,-14.48579776,-72.65009008,010064610;010190603;010183803;010052210;010083110;010183403;05005364X01;010247594;010073510;010055610,ANTABAMBA 101;ANTABAMBA 12;ANTABAN UNO;CRISTIANA 3;DEUS 12;JULIANA UNO;SANTO DOMINGO;SANTO DOMINGO DOS;SANTO DOMINGO 3;YANACHACCCHA I 2010,"ANGELES CHUQUIRUNA, CLEMENTE EDWIN;COMPAÑIA MINERA ARCATA S.A.;ECHEVARRIA SILVA SANTISTEBAN, LUIS ALBERTO GUILLERMO;FRESNILLO PERU S.A.C.;MINAS DE ARCATA S.A.;MINERA ABX EXPLORACIONES S.A.;MINERA ACAVILLE S.A.C.;MINERA BATEAS S.A.C.;MINERA FOCUS S.A.C.;MINERA ORO VEGA S.A.C.;PLACER DOME DEL PERU S.A.C.;SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,33,2
ANTABAMBA,LABOR MINERA,BOCAMINA,APURIMAC,APURIMAC,ANTABAMBA,ANTABAMBA,-14.48951940,-72.65363031,010064610;010190603;010183803;010052210;010083110;010183403;05005364X01;010247594;010073510;010055610,ANTABAMBA 101;ANTABAMBA 12;ANTABAN UNO;CRISTIANA 3;DEUS 12;JULIANA UNO;SANTO DOMINGO;SANTO DOMINGO DOS;SANTO DOMINGO 3;YANACHACCCHA I 2010,"ANGELES CHUQUIRUNA, CLEMENTE EDWIN;COMPAÑIA MINERA ARCATA S.A.;ECHEVARRIA SILVA SANTISTEBAN, LUIS ALBERTO GUILLERMO;FRESNILLO PERU S.A.C.;MINAS DE ARCATA S.A.;MINERA ABX EXPLORACIONES S.A.;MINERA ACAVILLE S.A.C.;MINERA BATEAS S.A.C.;MINERA FOCUS S.A.C.;MINERA ORO VEGA S.A.C.;PLACER DOME DEL PERU S.A.C.;SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU",NO IDENTIFICADO,---,---,31,2
ANTABAMBA,LABOR MINERA,BOCAMINA,APURIMAC,APURIMAC,ANTABAMBA,ANTABAMBA,-14.46830319,-72.65070080,010217299;010039106;010239811,ANTA 13;CAYARANI 147;PACAHUASI IMG 10,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU; COMPAÑIA MINERA ARES S.A.C.; NEWMONT PERU S.R.L.; IAMGOLD PERU S.A.",NO IDENTIFICADO,---,---,27,2
