EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
CCAPO,INFRAESTRUCTURA,PLANTAS DE PROCESAMIENTO,QUILCA,AREQUIPA,AREQUIPA,POLOBAYA,-16.60926638,-71.41754446,010176893;050020795;050001899;010025000,CLEMESI 25;LA GREDA;SARITA;SARITA AQP,"BARDALES FERNANDEZ, FLAVIO ALFREDO;COMPAÑIA MINERA MILPO S.A.A.;COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.;MINERA SARITA AQP S.A.C.;MINERALES ANDINOS E.I.R.L.;S.M.R.L. LA CAPILLA 1;ZEGARRA GONZALES, ALEJANDRO MIGUEL",NO IDENTIFICADO,---,---,35,2
CCAPO,RESIDUO MINERO,DESMONTE DE MINA,QUILCA,AREQUIPA,AREQUIPA,POLOBAYA,-16.60951524,-71.41789421,010176893;050020795;050001899;010025000,CLEMESI 25;LA GREDA;SARITA;SARITA AQP,"BARDALES FERNANDEZ, FLAVIO ALFREDO;COMPAÑIA MINERA MILPO S.A.A.;COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.;MINERA SARITA AQP S.A.C.;MINERALES ANDINOS E.I.R.L.;S.M.R.L. LA CAPILLA 1;ZEGARRA GONZALES, ALEJANDRO MIGUEL",NO IDENTIFICADO,---,---,31,2
SAN JOSE 3,RESIDUO MINERO,DESMONTE DE MINA,TAMBO,AREQUIPA,AREQUIPA,POLOBAYA,-16.70652146,-71.43559058,010200009;010003672U;01002399X01;010061293;010066606;540012209,CHAPI 174;CIMARRON;CIMARRON;JOSE 1-400;MARTHA SEIS;PAMPA NEGRA 3,"CIRCA S.A.;EMPRESA MINERA CIMARRON SOCIEDAD ANONIMA CERRADA;LEON VEGA, ARNALDO TEODOSIO;MINERA PAMPA DE COBRE S.A.;MINORCCO S.A.C.;MONTOYA LOPEZ, LUIS MAMERTO;SUEROS CUADROS, HIPOLITO;SUEROS VERA , HIPOLITO AMADOR;SUEROS VERA, DAVID ALBERTO;SUEROS VERA, EULOGIA CARMELA;SUEROS VERA, FLORENCIO MANUEL;SUEROS VERA, MARIA LOURDES",NO IDENTIFICADO,---,---,22,1
CCAPO,RESIDUO MINERO,PILAS DE LIXIVIACI´ÓN,QUILCA,AREQUIPA,AREQUIPA,POLOBAYA,-16.61017926,-71.41672210,010176893;050020795;050001899;010025000,CLEMESI 25;LA GREDA;SARITA;SARITA AQP,"BARDALES FERNANDEZ, FLAVIO ALFREDO;COMPAÑIA MINERA MILPO S.A.A.;COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.;MINERA SARITA AQP S.A.C.;MINERALES ANDINOS E.I.R.L.;S.M.R.L. LA CAPILLA 1;ZEGARRA GONZALES, ALEJANDRO MIGUEL",NO IDENTIFICADO,---,---,41,3
CCAPO,LABOR MINERA,PIQUE,QUILCA,AREQUIPA,AREQUIPA,POLOBAYA,-16.61286696,-71.41241805,010176893;050020795;050001899;010025000,CLEMESI 25;LA GREDA;SARITA;SARITA AQP,"BARDALES FERNANDEZ, FLAVIO ALFREDO;COMPAÑIA MINERA MILPO S.A.A.;COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.;MINERA SARITA AQP S.A.C.;MINERALES ANDINOS E.I.R.L.;S.M.R.L. LA CAPILLA 1;ZEGARRA GONZALES, ALEJANDRO MIGUEL",NO IDENTIFICADO,---,---,49,3
SAN JOSE 3,LABOR MINERA,TAJO,TAMBO,AREQUIPA,AREQUIPA,POLOBAYA,-16.70646067,-71.43538360,010200009;010003672U;01002399X01;010061293;010066606;540012209,CHAPI 174;CIMARRON;CIMARRON;JOSE 1-400;MARTHA SEIS;PAMPA NEGRA 3,"CIRCA S.A.;EMPRESA MINERA CIMARRON SOCIEDAD ANONIMA CERRADA;LEON VEGA, ARNALDO TEODOSIO;MINERA PAMPA DE COBRE S.A.;MINORCCO S.A.C.;MONTOYA LOPEZ, LUIS MAMERTO;SUEROS CUADROS, HIPOLITO;SUEROS VERA , HIPOLITO AMADOR;SUEROS VERA, DAVID ALBERTO;SUEROS VERA, EULOGIA CARMELA;SUEROS VERA, FLORENCIO MANUEL;SUEROS VERA, MARIA LOURDES",NO IDENTIFICADO,---,---,41,3
SAN JOSE 3,LABOR MINERA,TRINCHERA,TAMBO,AREQUIPA,AREQUIPA,POLOBAYA,-16.70434714,-71.43613475,010200009;010003672U;01002399X01;010061293;010066606;540012209,CHAPI 174;CIMARRON;CIMARRON;JOSE 1-400;MARTHA SEIS;PAMPA NEGRA 3,"CIRCA S.A.;EMPRESA MINERA CIMARRON SOCIEDAD ANONIMA CERRADA;LEON VEGA, ARNALDO TEODOSIO;MINERA PAMPA DE COBRE S.A.;MINORCCO S.A.C.;MONTOYA LOPEZ, LUIS MAMERTO;SUEROS CUADROS, HIPOLITO;SUEROS VERA , HIPOLITO AMADOR;SUEROS VERA, DAVID ALBERTO;SUEROS VERA, EULOGIA CARMELA;SUEROS VERA, FLORENCIO MANUEL;SUEROS VERA, MARIA LOURDES",NO IDENTIFICADO,---,---,20,1
SAN JOSE 3,LABOR MINERA,TRINCHERA,TAMBO,AREQUIPA,AREQUIPA,POLOBAYA,-16.70421365,-71.43596434,010200009;010003672U;01002399X01;010061293;010066606;540012209,CHAPI 174;CIMARRON;CIMARRON;JOSE 1-400;MARTHA SEIS;PAMPA NEGRA 3,"CIRCA S.A.;EMPRESA MINERA CIMARRON SOCIEDAD ANONIMA CERRADA;LEON VEGA, ARNALDO TEODOSIO;MINERA PAMPA DE COBRE S.A.;MINORCCO S.A.C.;MONTOYA LOPEZ, LUIS MAMERTO;SUEROS CUADROS, HIPOLITO;SUEROS VERA , HIPOLITO AMADOR;SUEROS VERA, DAVID ALBERTO;SUEROS VERA, EULOGIA CARMELA;SUEROS VERA, FLORENCIO MANUEL;SUEROS VERA, MARIA LOURDES",NO IDENTIFICADO,---,---,20,1
SAN JOSE 3,LABOR MINERA,TRINCHERA,TAMBO,AREQUIPA,AREQUIPA,POLOBAYA,-16.70374114,-71.43620204,010003672U;01002399X01;010227093,CIMARRON;CIMARRON;SAN JOSE 1-700,"ACUARIOS MINERA Y EXPLORADORA S.A.;EMPRESA MINERA CIMARRON SOCIEDAD ANONIMA CERRADA;MINERA PAMPA DE COBRE S.A.;SUEROS CUADROS, HIPOLITO;SUEROS VERA , HIPOLITO AMADOR;SUEROS VERA, DAVID ALBERTO;SUEROS VERA, EULOGIA CARMELA;SUEROS VERA, FLORENCIO MANUEL;SUEROS VERA, MARIA LOURDES",NO IDENTIFICADO,---,---,22,1
SAN JOSE 3,LABOR MINERA,TRINCHERA,TAMBO,AREQUIPA,AREQUIPA,POLOBAYA,-16.70357175,-71.43601243,010003672U;01002399X01;010227093,CIMARRON;CIMARRON;SAN JOSE 1-700,"ACUARIOS MINERA Y EXPLORADORA S.A.;EMPRESA MINERA CIMARRON SOCIEDAD ANONIMA CERRADA;MINERA PAMPA DE COBRE S.A.;SUEROS CUADROS, HIPOLITO;SUEROS VERA , HIPOLITO AMADOR;SUEROS VERA, DAVID ALBERTO;SUEROS VERA, EULOGIA CARMELA;SUEROS VERA, FLORENCIO MANUEL;SUEROS VERA, MARIA LOURDES",NO IDENTIFICADO,---,---,16,1
