EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
BOLICHES,LABOR MINERA,TAJO,OLMOS,LAMBAYEQUE,LAMBAYEQUE,OLMOS,-5.95415450,-79.69259668,030022403;640000510;010039099,DON ROMULO III;DON ROMULO III;GATO 2,"DIAMANTE DEL NORTE S.A.C.;EMPRESA MINERA OLMOS S.A.C.;LAMADRID RUIZ, LUIS ENRIQUE;LOPEZ MARCHENA, JORGE STALEN;QUIJANO CICCIA, MIGUEL ANGEL;S.M.R.L. GATO 1",NO IDENTIFICADO,---,---,22,1
QUEBRADA ARTESON,RESIDUO MINERO,DESMONTE DE MINA,OLMOS,LAMBAYEQUE,LAMBAYEQUE,OLMOS,-5.96059916,-79.69102776,030025303;640000610;010039099;640001310,DON ROMULO V;DON ROMULO V;GATO 2;JORGE Y KELLY 2010 V,"DIAMANTE DEL NORTE S.A.C.;EMPRESA MINERA OLMOS S.A.C.;LAMADRID RUIZ, LUIS ENRIQUE;LOPEZ MARCHENA, JORGE STALEN;QUIJANO CICCIA, MIGUEL ANGEL;S.M.R.L. GATO 1;TEMOCHE PEREZ, CARLOS ALBERTO",NO IDENTIFICADO,---,---,14,1
BOLICHES,LABOR MINERA,TRINCHERA,OLMOS,LAMBAYEQUE,LAMBAYEQUE,OLMOS,-5.95496747,-79.69217924,030025303;640000610;010039099;640001310,DON ROMULO V;DON ROMULO V;GATO 2;JORGE Y KELLY 2010 V,"DIAMANTE DEL NORTE S.A.C.;EMPRESA MINERA OLMOS S.A.C.;LAMADRID RUIZ, LUIS ENRIQUE;LOPEZ MARCHENA, JORGE STALEN;QUIJANO CICCIA, MIGUEL ANGEL;S.M.R.L. GATO 1;TEMOCHE PEREZ, CARLOS ALBERTO",NO IDENTIFICADO,---,---,6,1
BOLICHES,LABOR MINERA,MEDIA BARRETA,OLMOS,LAMBAYEQUE,LAMBAYEQUE,OLMOS,-5.95462416,-79.69233361,030022403;640000510;010039099,DON ROMULO III;DON ROMULO III;GATO 2,"DIAMANTE DEL NORTE S.A.C.;EMPRESA MINERA OLMOS S.A.C.;LAMADRID RUIZ, LUIS ENRIQUE;LOPEZ MARCHENA, JORGE STALEN;QUIJANO CICCIA, MIGUEL ANGEL;S.M.R.L. GATO 1",NO IDENTIFICADO,---,---,25,1
