EUM,TIPO,SUBTIPO,CUENCA,REGIÓN,PROVINCIA,DISTRITO,Latitud,Longitud,CÓDIGO DERECHO MINERO,NOMBRE DERECHO MINERO,NOMBRE TITULAR,GENERADOR,RESPONSABLE,ESTUDIO AMBIENTAL,Puntaje,Riesgo
LOS CELEBRES,LABOR MINERA,BOCAMINA,PATIVILCA,LIMA,BARRANCA,PATIVILCA,-10.64336513,-77.68542432,10144294,LOS CELEBRES,"COMPAÑIA MINERA AUREA S.A.C.;COMPAÑIA MINERA CASAPALCA S.A.;COMPAÑIA MINERA POMATAREA S.R.L.;SANGUINETTI ZEVALLOS, GUILLERMO SIMON",NO IDENTIFICADO,---,---,31,2
LOS CELEBRES,RESIDUO MINERO,DESMONTE DE MINA,PATIVILCA,LIMA,BARRANCA,PATIVILCA,-10.64087694,-77.68795078,10144294,LOS CELEBRES,"COMPAÑIA MINERA AUREA S.A.C.;COMPAÑIA MINERA CASAPALCA S.A.;COMPAÑIA MINERA POMATAREA S.R.L.;SANGUINETTI ZEVALLOS, GUILLERMO SIMON",NO IDENTIFICADO,---,---,22,1
LOS CELEBRES,LABOR MINERA,BOCAMINA,PATIVILCA,LIMA,BARRANCA,PATIVILCA,-10.64095248,-77.68967768,010844795;010090703;010218194,EXITO UNO;PARAISO MINERO 15;TRES,"ARIAS DAVILA, ALBERTO AURELIO;COMPAÑIA MINERA AUREA S.A.C.;COMPAÑIA MINERA CASAPALCA S.A.;COMPAÑIA MINERA POMATAREA S.R.L.;EUREKA MINAS S.A.;PARAISO MINERO S.R.L.;PEREZ POLANCO, GLADYS NATIVIDAD;SANTOLALLA ROJAS, CARLOS JAVIER;VILCHEZ FLORES, OBDULIA",NO IDENTIFICADO,---,---,29,2
LOS CELEBRES,INFRAESTRUCTURA,PLANTAS DE PROCESAMIENTO,PATIVILCA,LIMA,BARRANCA,PATIVILCA,-10.64196916,-77.68596011,010791095;010844795;010144294,EUREKA N1;EXITO UNO;LOS CELEBRES,"COMPAÑIA MINERA AUREA S.A.C.;COMPAÑIA MINERA CASAPALCA S.A.;COMPAÑIA MINERA POMATAREA S.R.L.;EUREKA MINAS S.A.;SANGUINETTI ZEVALLOS, GUILLERMO SIMON;SANTOLALLA ROJAS, CARLOS JAVIER;VILCHEZ FLORES, OBDULIA",NO IDENTIFICADO,---,---,22,1
LOS CELEBRES,RESIDUO MINERO,PILA DE LIXIVIACION,PATIVILCA,LIMA,BARRANCA,PATIVILCA,-10.64190537,-77.68602349,010791095;010844795;010144294,EUREKA N1;EXITO UNO;LOS CELEBRES,"COMPAÑIA MINERA AUREA S.A.C.;COMPAÑIA MINERA CASAPALCA S.A.;COMPAÑIA MINERA POMATAREA S.R.L.;EUREKA MINAS S.A.;SANGUINETTI ZEVALLOS, GUILLERMO SIMON;SANTOLALLA ROJAS, CARLOS JAVIER;VILCHEZ FLORES, OBDULIA",NO IDENTIFICADO,---,---,22,1
CHANCA,INFRAESTRUCTURA,"CAMPAMENTOS, OFICINAS, TALLERES",PATIVILCA,LIMA,CAJATAMBO,CAJATAMBO,-10.55434944,-76.88196944,010043009;010002004;010283394,AYMARA DIANA;MARIANAO 6;YERUPAJA 14,"ANGLOGOLD ASHANTI EXPLORACION PERU S.A.C.;COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;COMPAÑIA MINERA MILPO S.A.A.;CONTRATISTAS GENERALES EN MINERIA J.H. SAC;HIDALGO VARGAS MACHUCA, RAUL ANTONIO;MINERA AYMARA S.A.C.;MINERA FOCUS S.A.C.;MURGOR EXPLORACIONES S.A.C.",NO IDENTIFICADO,---,---,24,1
CHANCA,INFRAESTRUCTURA,"CAMPAMENTOS, OFICINAS, TALLERES",PATIVILCA,LIMA,CAJATAMBO,CAJATAMBO,-10.55441549,-76.88150392,010043009;010002004;010283394,AYMARA DIANA;MARIANAO 6;YERUPAJA 14,"ANGLOGOLD ASHANTI EXPLORACION PERU S.A.C.;COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;COMPAÑIA MINERA MILPO S.A.A.;CONTRATISTAS GENERALES EN MINERIA J.H. SAC;HIDALGO VARGAS MACHUCA, RAUL ANTONIO;MINERA AYMARA S.A.C.;MINERA FOCUS S.A.C.;MURGOR EXPLORACIONES S.A.C.",NO IDENTIFICADO,---,---,27,2
CHANCA,INFRAESTRUCTURA,"CAMPAMENTOS, OFICINAS, TALLERES",PATIVILCA,LIMA,CAJATAMBO,CAJATAMBO,-10.55463369,-76.88129513,010043009;010349695;010002004;010283394,AYMARA DIANA;LAURI Nº 4;MARIANAO 6;YERUPAJA 14,"ANGLOGOLD ASHANTI EXPLORACION PERU S.A.C.;COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;COMPAÑIA MINERA MILPO S.A.A.;COMPAÑIA MINERA RAURA S.A.;CONTRATISTAS GENERALES EN MINERIA J.H. SAC;HIDALGO VARGAS MACHUCA, RAUL ANTONIO;MINERA AYMARA S.A.C.;MINERA FOCUS S.A.C.;MURGOR EXPLORACIONES S.A.C.",NO IDENTIFICADO,---,---,31,2
CHANCA,INFRAESTRUCTURA,"CAMPAMENTOS, OFICINAS, TALLERES",PATIVILCA,LIMA,CAJATAMBO,CAJATAMBO,-10.55483007,-76.87867435,010043009;010002004;010283394,AYMARA DIANA;MARIANAO 6;YERUPAJA 14,"ANGLOGOLD ASHANTI EXPLORACION PERU S.A.C.;COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;COMPAÑIA MINERA MILPO S.A.A.;CONTRATISTAS GENERALES EN MINERIA J.H. SAC;HIDALGO VARGAS MACHUCA, RAUL ANTONIO;MINERA AYMARA S.A.C.;MINERA FOCUS S.A.C.;MURGOR EXPLORACIONES S.A.C.",NO IDENTIFICADO,---,---,24,1
CHANCA,INFRAESTRUCTURA,"CAMPAMENTOS, OFICINAS, TALLERES",PATIVILCA,LIMA,CAJATAMBO,CAJATAMBO,-10.55511100,-76.87855730,010043009;010002004;010283394,AYMARA DIANA;MARIANAO 6;YERUPAJA 14,"ANGLOGOLD ASHANTI EXPLORACION PERU S.A.C.;COMPAÑIA DE MINAS BUENAVENTURA S.A.A.;COMPAÑIA MINERA MILPO S.A.A.;CONTRATISTAS GENERALES EN MINERIA J.H. SAC;HIDALGO VARGAS MACHUCA, RAUL ANTONIO;MINERA AYMARA S.A.C.;MINERA FOCUS S.A.C.;MURGOR EXPLORACIONES S.A.C.",NO IDENTIFICADO,---,---,27,2
