geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-74.05563,-13.53574],[-74.07251,-13.53832],[-74.09949,-13.53623],[-74.12168,-13.52959],[-74.13448,-13.51659],[-74.151941,-13.509027],[-74.159009,-13.534701],[-74.149433,-13.544979],[-74.159742,-13.564774],[-74.151687,-13.592771],[-74.177129,-13.599946],[-74.19608,-13.594301],[-74.191535,-13.607855],[-74.205309,-13.615475],[-74.206004,-13.632598],[-74.182259,-13.639906],[-74.167916,-13.636002],[-74.154421,-13.639757],[-74.13948,-13.632939],[-74.117323,-13.649571],[-74.100413,-13.666446],[-74.076032,-13.678841],[-74.050071,-13.682646],[-74.05435,-13.66892],[-74.046514,-13.635918],[-74.039077,-13.631682],[-74.035845,-13.615171],[-74.039322,-13.604838],[-74.059573,-13.593399],[-74.06373,-13.57448],[-74.055953,-13.554983],[-74.05563,-13.53574]]]}",5,Ayacucho,2,Cangallo,1,Cangallo,CANGALLO
"{""type"":""Polygon"",""coordinates"":[[[-74.336009,-13.438749],[-74.35354,-13.44053],[-74.38273,-13.43188],[-74.39693,-13.44473],[-74.40312,-13.43421],[-74.43176,-13.44912],[-74.46662,-13.44928],[-74.47575,-13.45314],[-74.486927,-13.444202],[-74.506317,-13.43648],[-74.52709,-13.423554],[-74.531582,-13.403399],[-74.554854,-13.389693],[-74.57168,-13.38712],[-74.576485,-13.366255],[-74.57112,-13.3454],[-74.57912,-13.34916],[-74.59683,-13.37011],[-74.60963,-13.37742],[-74.62454,-13.39257],[-74.628601,-13.40675],[-74.625553,-13.418138],[-74.610525,-13.419747],[-74.595874,-13.433105],[-74.575484,-13.465998],[-74.543538,-13.474086],[-74.55051,-13.486462],[-74.537705,-13.507035],[-74.510994,-13.503637],[-74.484931,-13.508049],[-74.482066,-13.519458],[-74.464411,-13.530331],[-74.44277,-13.52355],[-74.43264,-13.55163],[-74.43792,-13.57705],[-74.43507,-13.58782],[-74.41602,-13.59596],[-74.40122,-13.5927],[-74.36839,-13.6028],[-74.319196,-13.626527],[-74.289088,-13.633918],[-74.278568,-13.633538],[-74.289934,-13.621978],[-74.298223,-13.59557],[-74.305788,-13.584987],[-74.342298,-13.555908],[-74.341329,-13.531352],[-74.337193,-13.520561],[-74.314143,-13.508703],[-74.307526,-13.489058],[-74.30579,-13.46972],[-74.31292,-13.45773],[-74.31251,-13.44326],[-74.32751,-13.43444],[-74.336009,-13.438749]]]}",5,Ayacucho,2,Cangallo,2,Chuschi,CHUSCHI
"{""type"":""Polygon"",""coordinates"":[[[-74.151941,-13.509027],[-74.160129,-13.497012],[-74.16581,-13.46865],[-74.172086,-13.453742],[-74.193621,-13.433805],[-74.195771,-13.41807],[-74.20607,-13.406801],[-74.21291,-13.413748],[-74.237502,-13.413792],[-74.247238,-13.420344],[-74.25911,-13.41528],[-74.26213,-13.39635],[-74.27412,-13.391797],[-74.279362,-13.408311],[-74.316566,-13.426346],[-74.330282,-13.424781],[-74.336009,-13.438749],[-74.32751,-13.43444],[-74.31251,-13.44326],[-74.31292,-13.45773],[-74.30579,-13.46972],[-74.307526,-13.489058],[-74.281801,-13.484673],[-74.275714,-13.503076],[-74.266772,-13.515334],[-74.266064,-13.536407],[-74.24604,-13.57472],[-74.21051,-13.57728],[-74.209787,-13.588955],[-74.19608,-13.594301],[-74.177129,-13.599946],[-74.151687,-13.592771],[-74.159742,-13.564774],[-74.149433,-13.544979],[-74.159009,-13.534701],[-74.151941,-13.509027]]]}",5,Ayacucho,2,Cangallo,3,Los Morochucos,PAMPA - CANGALLO
"{""type"":""Polygon"",""coordinates"":[[[-74.19608,-13.594301],[-74.209787,-13.588955],[-74.21051,-13.57728],[-74.24604,-13.57472],[-74.266064,-13.536407],[-74.266772,-13.515334],[-74.275714,-13.503076],[-74.281801,-13.484673],[-74.307526,-13.489058],[-74.314143,-13.508703],[-74.337193,-13.520561],[-74.341329,-13.531352],[-74.342298,-13.555908],[-74.305788,-13.584987],[-74.298223,-13.59557],[-74.289934,-13.621978],[-74.278568,-13.633538],[-74.243676,-13.62845],[-74.222637,-13.628386],[-74.206004,-13.632598],[-74.205309,-13.615475],[-74.191535,-13.607855],[-74.19608,-13.594301]]]}",5,Ayacucho,2,Cangallo,4,María Parado De Bellido,POMABAMBA
"{""type"":""Polygon"",""coordinates"":[[[-74.63283,-13.34478],[-74.66243,-13.35508],[-74.68782,-13.3528],[-74.69946,-13.36351],[-74.728307,-13.362194],[-74.73675,-13.34483],[-74.752257,-13.328245],[-74.762322,-13.326943],[-74.763863,-13.341393],[-74.81211,-13.35754],[-74.84671,-13.35328],[-74.86875,-13.3599],[-74.8877,-13.38002],[-74.89772,-13.39531],[-74.89266,-13.41446],[-74.90358,-13.42946],[-74.89977,-13.45229],[-74.9021,-13.46644],[-74.86218,-13.48179],[-74.84008,-13.51162],[-74.84041,-13.51984],[-74.82956,-13.5343],[-74.81583,-13.53537],[-74.79957,-13.54747],[-74.78242,-13.57851],[-74.76665,-13.58019],[-74.75121,-13.5887],[-74.72016,-13.58101],[-74.70949,-13.58516],[-74.67682,-13.57464],[-74.66299,-13.56038],[-74.63937,-13.55544],[-74.62717,-13.55675],[-74.59913,-13.57796],[-74.57092,-13.58507],[-74.55188,-13.59728],[-74.551785,-13.569407],[-74.561471,-13.562567],[-74.550418,-13.532384],[-74.549227,-13.517258],[-74.537705,-13.507035],[-74.55051,-13.486462],[-74.543538,-13.474086],[-74.575484,-13.465998],[-74.595874,-13.433105],[-74.610525,-13.419747],[-74.625553,-13.418138],[-74.628601,-13.40675],[-74.62454,-13.39257],[-74.60963,-13.37742],[-74.59683,-13.37011],[-74.57912,-13.34916],[-74.57112,-13.3454],[-74.58636,-13.3349],[-74.60083,-13.33216],[-74.62565,-13.33708],[-74.63283,-13.34478]]]}",5,Ayacucho,2,Cangallo,5,Paras,PARAS
"{""type"":""Polygon"",""coordinates"":[[[-74.43507,-13.58782],[-74.43792,-13.57705],[-74.43264,-13.55163],[-74.44277,-13.52355],[-74.464411,-13.530331],[-74.482066,-13.519458],[-74.484931,-13.508049],[-74.510994,-13.503637],[-74.537705,-13.507035],[-74.549227,-13.517258],[-74.550418,-13.532384],[-74.561471,-13.562567],[-74.551785,-13.569407],[-74.55188,-13.59728],[-74.53519,-13.60436],[-74.52047,-13.6155],[-74.51764,-13.60301],[-74.47029,-13.59326],[-74.4564,-13.58663],[-74.43507,-13.58782]]]}",5,Ayacucho,2,Cangallo,6,Totos,TOTOS
"{""type"":""Polygon"",""coordinates"":[[[-73.968803,-13.17286],[-73.98693,-13.19368],[-74.01356,-13.19371],[-74.03132,-13.20723],[-74.04096,-13.19473],[-74.05387,-13.19523],[-74.05895,-13.1856],[-74.09241,-13.16049],[-74.08579,-13.17254],[-74.09136,-13.19015],[-74.08952,-13.20237],[-74.10648,-13.23621],[-74.10691,-13.25122],[-74.123357,-13.285008],[-74.110496,-13.298021],[-74.096906,-13.30541],[-74.107984,-13.345602],[-74.098263,-13.355932],[-74.089006,-13.353086],[-74.079116,-13.364693],[-74.080835,-13.37633],[-74.058586,-13.396465],[-74.058896,-13.408943],[-74.047518,-13.416786],[-74.044815,-13.440897],[-74.035857,-13.444164],[-74.021652,-13.439588],[-73.992513,-13.441335],[-73.956659,-13.419748],[-73.95638,-13.397688],[-73.962075,-13.388142],[-73.955785,-13.359705],[-73.943705,-13.349861],[-73.942437,-13.339199],[-73.925541,-13.324076],[-73.919668,-13.307774],[-73.92565,-13.300364],[-73.924604,-13.285042],[-73.94486,-13.266574],[-73.94594,-13.229096],[-73.9638,-13.206947],[-73.961397,-13.18726],[-73.968803,-13.17286]]]}",5,Ayacucho,1,Huamanga,2,Acocro,ACOCRO
"{""type"":""Polygon"",""coordinates"":[[[-73.968803,-13.17286],[-73.981985,-13.170882],[-73.993922,-13.161882],[-73.993411,-13.148138],[-74.026823,-13.092411],[-74.037281,-13.097395],[-74.04647,-13.085963],[-74.04991,-13.066132],[-74.058128,-13.062704],[-74.054335,-13.034754],[-74.065731,-13.03194],[-74.083953,-13.047918],[-74.091245,-13.061936],[-74.105428,-13.06747],[-74.112572,-13.084016],[-74.121316,-13.089137],[-74.12582,-13.10194],[-74.12185,-13.11814],[-74.12728,-13.13087],[-74.10095,-13.13503],[-74.09311,-13.14414],[-74.09241,-13.16049],[-74.05895,-13.1856],[-74.05387,-13.19523],[-74.04096,-13.19473],[-74.03132,-13.20723],[-74.01356,-13.19371],[-73.98693,-13.19368],[-73.968803,-13.17286]]]}",5,Ayacucho,1,Huamanga,3,Acos Vinchos,ACOS VINCHOS
"{""type"":""Polygon"",""coordinates"":[[[-74.18666,-13.13871],[-74.203034,-13.133881],[-74.21135,-13.157338],[-74.218568,-13.161805],[-74.215678,-13.165922],[-74.19051,-13.174885],[-74.18666,-13.13871]]]}",5,Ayacucho,1,Huamanga,16,Andrés Avelino Cáceres Dorregaray,JARDIN
"{""type"":""Polygon"",""coordinates"":[[[-74.2292,-13.08445],[-74.23317,-13.0783],[-74.261604,-13.075331],[-74.272026,-13.0696],[-74.273602,-13.071409],[-74.2736,-13.09182],[-74.28685,-13.11073],[-74.2819,-13.13006],[-74.280418,-13.148188],[-74.289392,-13.161407],[-74.276606,-13.174027],[-74.260911,-13.205489],[-74.254964,-13.19302],[-74.238668,-13.192918],[-74.226868,-13.168824],[-74.215678,-13.165922],[-74.218568,-13.161805],[-74.225429,-13.13337],[-74.213756,-13.127843],[-74.211197,-13.114975],[-74.231324,-13.091238],[-74.2292,-13.08445]]]}",5,Ayacucho,1,Huamanga,1,Ayacucho,AYACUCHO
