geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-80.728773,-4.010931],[-80.764039,-3.993284],[-80.784665,-3.991418],[-80.772226,-3.965399],[-80.802571,-3.949097],[-80.803073,-3.938689],[-80.812854,-3.929648],[-80.812603,-3.893284],[-80.842021,-3.881783],[-80.854531,-3.893186],[-80.8744,-3.899975],[-80.888096,-3.913527],[-80.956545,-3.956199],[-80.970533,-3.973398],[-80.987388,-3.985711],[-81.00585,-4.0306],[-81.041911,-4.082922],[-81.028883,-4.105217],[-81.011971,-4.114234],[-81.000652,-4.111203],[-80.971322,-4.127117],[-80.961887,-4.150488],[-80.970777,-4.166912],[-80.954728,-4.173447],[-80.94275,-4.168996],[-80.936385,-4.178242],[-80.928314,-4.169025],[-80.900773,-4.179418],[-80.882822,-4.192801],[-80.865703,-4.188879],[-80.843412,-4.188582],[-80.860933,-4.172397],[-80.850628,-4.15992],[-80.826742,-4.147023],[-80.814938,-4.118671],[-80.833578,-4.112352],[-80.841903,-4.104417],[-80.830364,-4.095408],[-80.81707,-4.076546],[-80.764178,-4.038131],[-80.728545,-4.020025],[-80.728773,-4.010931]]]}",24,Tumbes,2,Contralmirante Villar,3,Canoas de Punta Sal,CANCAS
"{""type"":""Polygon"",""coordinates"":[[[-80.590583,-3.828313],[-80.608952,-3.822887],[-80.619649,-3.834728],[-80.639473,-3.838009],[-80.653064,-3.835509],[-80.659544,-3.82774],[-80.680702,-3.828228],[-80.678313,-3.855521],[-80.665642,-3.864654],[-80.664609,-3.881532],[-80.656659,-3.885885],[-80.658042,-3.90387],[-80.674129,-3.916132],[-80.676254,-3.928325],[-80.708456,-3.949211],[-80.707034,-3.960037],[-80.715792,-3.990746],[-80.728773,-4.010931],[-80.728545,-4.020025],[-80.764178,-4.038131],[-80.81707,-4.076546],[-80.830364,-4.095408],[-80.841903,-4.104417],[-80.833578,-4.112352],[-80.814938,-4.118671],[-80.826742,-4.147023],[-80.850628,-4.15992],[-80.860933,-4.172397],[-80.843412,-4.188582],[-80.824016,-4.185619],[-80.803307,-4.175967],[-80.79015,-4.18024],[-80.76301,-4.17491],[-80.71457,-4.19345],[-80.70032,-4.1878],[-80.68037,-4.20078],[-80.666451,-4.215059],[-80.645446,-4.206033],[-80.635928,-4.190614],[-80.635645,-4.179258],[-80.612514,-4.171935],[-80.595477,-4.146784],[-80.583485,-4.138908],[-80.578894,-4.110693],[-80.56935,-4.103387],[-80.567139,-4.084644],[-80.561393,-4.076799],[-80.558656,-4.056615],[-80.53809,-4.028498],[-80.527605,-4.02935],[-80.515471,-4.018232],[-80.522998,-4.007035],[-80.524334,-3.984635],[-80.521278,-3.973036],[-80.529987,-3.959568],[-80.533293,-3.930084],[-80.523491,-3.907648],[-80.54022,-3.899084],[-80.55057,-3.882619],[-80.542646,-3.86991],[-80.539795,-3.843187],[-80.544984,-3.835913],[-80.588076,-3.834815],[-80.590583,-3.828313]]]}",24,Tumbes,2,Contralmirante Villar,2,Casitas,CAÑAVERAL
"{""type"":""Polygon"",""coordinates"":[[[-80.553982,-3.733549],[-80.580805,-3.727064],[-80.5758,-3.7091],[-80.60384,-3.67058],[-80.604733,-3.637196],[-80.6229,-3.659482],[-80.634124,-3.666135],[-80.656559,-3.666775],[-80.667695,-3.67668],[-80.684273,-3.679853],[-80.725928,-3.710436],[-80.7536,-3.71817],[-80.771758,-3.739625],[-80.787228,-3.748186],[-80.794619,-3.760203],[-80.828691,-3.837297],[-80.830728,-3.868381],[-80.842021,-3.881783],[-80.812603,-3.893284],[-80.812854,-3.929648],[-80.803073,-3.938689],[-80.802571,-3.949097],[-80.772226,-3.965399],[-80.784665,-3.991418],[-80.764039,-3.993284],[-80.728773,-4.010931],[-80.715792,-3.990746],[-80.707034,-3.960037],[-80.708456,-3.949211],[-80.676254,-3.928325],[-80.674129,-3.916132],[-80.658042,-3.90387],[-80.656659,-3.885885],[-80.664609,-3.881532],[-80.665642,-3.864654],[-80.678313,-3.855521],[-80.680702,-3.828228],[-80.659544,-3.82774],[-80.653064,-3.835509],[-80.639473,-3.838009],[-80.619649,-3.834728],[-80.608952,-3.822887],[-80.590583,-3.828313],[-80.586431,-3.805481],[-80.576598,-3.784859],[-80.557347,-3.783043],[-80.553982,-3.733549]]]}",24,Tumbes,2,Contralmirante Villar,1,Zorritos,ZORRITOS
"{""type"":""Polygon"",""coordinates"":[[[-80.497178,-3.503441],[-80.504875,-3.508951],[-80.544846,-3.589732],[-80.555482,-3.605693],[-80.54218,-3.63134],[-80.552973,-3.645671],[-80.529671,-3.665514],[-80.526984,-3.675193],[-80.5081,-3.67403],[-80.492511,-3.65125],[-80.46405,-3.63609],[-80.452598,-3.625437],[-80.441658,-3.622918],[-80.440109,-3.607258],[-80.453947,-3.601029],[-80.460659,-3.597462],[-80.46115,-3.572016],[-80.495337,-3.529806],[-80.484002,-3.513559],[-80.497178,-3.503441]]]}",24,Tumbes,1,Tumbes,2,Corrales,SAN PEDRO DE LOS INCAS
"{""type"":""Polygon"",""coordinates"":[[[-80.526984,-3.675193],[-80.529671,-3.665514],[-80.552973,-3.645671],[-80.54218,-3.63134],[-80.555482,-3.605693],[-80.572904,-3.627922],[-80.583224,-3.636207],[-80.604733,-3.637196],[-80.60384,-3.67058],[-80.5758,-3.7091],[-80.580805,-3.727064],[-80.553982,-3.733549],[-80.549279,-3.709384],[-80.541724,-3.69201],[-80.526984,-3.675193]]]}",24,Tumbes,1,Tumbes,3,La Cruz,CALETA CRUZ
"{""type"":""Polygon"",""coordinates"":[[[-80.305,-3.772566],[-80.311728,-3.768332],[-80.312906,-3.738956],[-80.320496,-3.728153],[-80.325445,-3.709475],[-80.331799,-3.704811],[-80.342125,-3.683967],[-80.362963,-3.670961],[-80.39612,-3.675516],[-80.41987,-3.660584],[-80.434912,-3.65817],[-80.437111,-3.673232],[-80.449464,-3.678999],[-80.445067,-3.706189],[-80.450416,-3.713544],[-80.443777,-3.727802],[-80.440391,-3.747455],[-80.452585,-3.754862],[-80.455014,-3.77868],[-80.448954,-3.811218],[-80.466898,-3.810356],[-80.474229,-3.804941],[-80.496065,-3.811386],[-80.462629,-3.826334],[-80.44684,-3.83759],[-80.46018,-3.85539],[-80.48172,-3.86251],[-80.485,-3.88407],[-80.48996,-3.89031],[-80.47989,-3.90912],[-80.46599,-3.90871],[-80.45686,-3.92702],[-80.44913,-3.92866],[-80.43714,-3.94637],[-80.4118,-3.95293],[-80.398287,-3.980264],[-80.377111,-3.989635],[-80.362626,-3.983161],[-80.352759,-3.994765],[-80.33909,-3.99214],[-80.323693,-4.011166],[-80.298076,-4.017258],[-80.272233,-4.008101],[-80.26182,-3.99889],[-80.25392,-3.97936],[-80.236804,-3.963171],[-80.24021,-3.95623],[-80.19985,-3.94719],[-80.18074,-3.92583],[-80.19624,-3.91145],[-80.22152,-3.90139],[-80.23312,-3.90601],[-80.24359,-3.89754],[-80.25624,-3.90286],[-80.26222,-3.8797],[-80.25258,-3.868363],[-80.255806,-3.832765],[-80.286074,-3.790027],[-80.305,-3.772566]]]}",24,Tumbes,1,Tumbes,4,Pampas de Hospital,PAMPAS DE HOSPITAL
"{""type"":""Polygon"",""coordinates"":[[[-80.434912,-3.65817],[-80.432137,-3.644737],[-80.441658,-3.622918],[-80.452598,-3.625437],[-80.46405,-3.63609],[-80.492511,-3.65125],[-80.5081,-3.67403],[-80.526984,-3.675193],[-80.541724,-3.69201],[-80.549279,-3.709384],[-80.553982,-3.733549],[-80.557347,-3.783043],[-80.576598,-3.784859],[-80.586431,-3.805481],[-80.590583,-3.828313],[-80.588076,-3.834815],[-80.544984,-3.835913],[-80.539795,-3.843187],[-80.542646,-3.86991],[-80.55057,-3.882619],[-80.54022,-3.899084],[-80.523491,-3.907648],[-80.533293,-3.930084],[-80.529987,-3.959568],[-80.521278,-3.973036],[-80.524334,-3.984635],[-80.522998,-4.007035],[-80.515471,-4.018232],[-80.527605,-4.02935],[-80.53809,-4.028498],[-80.558656,-4.056615],[-80.561393,-4.076799],[-80.567139,-4.084644],[-80.56935,-4.103387],[-80.578894,-4.110693],[-80.583485,-4.138908],[-80.595477,-4.146784],[-80.612514,-4.171935],[-80.635645,-4.179258],[-80.635928,-4.190614],[-80.645446,-4.206033],[-80.666451,-4.215059],[-80.64523,-4.22956],[-80.62322,-4.23178],[-80.60121,-4.21317],[-80.58982,-4.21412],[-80.58723,-4.19951],[-80.56083,-4.1747],[-80.524346,-4.107414],[-80.510939,-4.093576],[-80.487332,-4.083129],[-80.471816,-4.073593],[-80.479796,-4.05554],[-80.469971,-4.046301],[-80.46838,-4.035869],[-80.451531,-4.03168],[-80.452341,-4.022254],[-80.44151,-4.00544],[-80.44685,-3.99802],[-80.43024,-3.9895],[-80.40869,-3.98934],[-80.398287,-3.980264],[-80.4118,-3.95293],[-80.43714,-3.94637],[-80.44913,-3.92866],[-80.45686,-3.92702],[-80.46599,-3.90871],[-80.47989,-3.90912],[-80.48996,-3.89031],[-80.485,-3.88407],[-80.48172,-3.86251],[-80.46018,-3.85539],[-80.44684,-3.83759],[-80.462629,-3.826334],[-80.496065,-3.811386],[-80.474229,-3.804941],[-80.466898,-3.810356],[-80.448954,-3.811218],[-80.455014,-3.77868],[-80.452585,-3.754862],[-80.440391,-3.747455],[-80.443777,-3.727802],[-80.450416,-3.713544],[-80.445067,-3.706189],[-80.449464,-3.678999],[-80.437111,-3.673232],[-80.434912,-3.65817]]]}",24,Tumbes,1,Tumbes,5,San Jacinto,SAN JACINTO
"{""type"":""Polygon"",""coordinates"":[[[-80.342272,-3.625089],[-80.362533,-3.626609],[-80.370461,-3.615051],[-80.39341,-3.605602],[-80.400371,-3.607721],[-80.424264,-3.600864],[-80.453947,-3.601029],[-80.440109,-3.607258],[-80.441658,-3.622918],[-80.432137,-3.644737],[-80.434912,-3.65817],[-80.41987,-3.660584],[-80.39612,-3.675516],[-80.362963,-3.670961],[-80.342125,-3.683967],[-80.331799,-3.704811],[-80.325445,-3.709475],[-80.320496,-3.728153],[-80.312906,-3.738956],[-80.311728,-3.768332],[-80.305,-3.772566],[-80.299295,-3.758606],[-80.302544,-3.741678],[-80.298174,-3.730078],[-80.302868,-3.713543],[-80.29583,-3.67384],[-80.30127,-3.65574],[-80.319707,-3.639519],[-80.342272,-3.625089]]]}",24,Tumbes,1,Tumbes,6,San Juan de la Virgen,SAN JUAN DE LA VIRGEN
"{""type"":""Polygon"",""coordinates"":[[[-80.37883,-3.494611],[-80.402062,-3.505961],[-80.417807,-3.510195],[-80.419498,-3.495676],[-80.433565,-3.48985],[-80.458287,-3.501408],[-80.47982,-3.505682],[-80.497178,-3.503441],[-80.484002,-3.513559],[-80.495337,-3.529806],[-80.46115,-3.572016],[-80.460659,-3.597462],[-80.453947,-3.601029],[-80.424264,-3.600864],[-80.400371,-3.607721],[-80.39341,-3.605602],[-80.370461,-3.615051],[-80.362533,-3.626609],[-80.342272,-3.625089],[-80.342299,-3.623125],[-80.37883,-3.494611]]]}",24,Tumbes,1,Tumbes,1,Tumbes,TUMBES
"{""type"":""Polygon"",""coordinates"":[[[-80.21034,-3.55873],[-80.20617,-3.53452],[-80.21692,-3.51084],[-80.22853,-3.50113],[-80.24212,-3.46621],[-80.220521,-3.443858],[-80.225463,-3.432938],[-80.263434,-3.445817],[-80.26348,-3.45555],[-80.28244,-3.46594],[-80.26979,-3.47922],[-80.268271,-3.492297],[-80.249025,-3.529609],[-80.226914,-3.535602],[-80.21034,-3.55873]]]}",24,Tumbes,3,Zarumilla,2,Aguas Verdes,AGUAS VERDES
"{""type"":""Polygon"",""coordinates"":[[[-80.18074,-3.92583],[-80.16463,-3.92243],[-80.15781,-3.91315],[-80.140242,-3.912962],[-80.127165,-3.895516],[-80.15855,-3.86982],[-80.15271,-3.84851],[-80.159035,-3.842965],[-80.16092,-3.80208],[-80.18151,-3.78563],[-80.19111,-3.74746],[-80.18081,-3.73858],[-80.18502,-3.71534],[-80.19361,-3.708],[-80.198382,-3.687057],[-80.187458,-3.671407],[-80.18662,-3.62913],[-80.19716,-3.61771],[-80.277937,-3.6369],[-80.342299,-3.623125],[-80.342272,-3.625089],[-80.319707,-3.639519],[-80.30127,-3.65574],[-80.29583,-3.67384],[-80.302868,-3.713543],[-80.298174,-3.730078],[-80.302544,-3.741678],[-80.299295,-3.758606],[-80.305,-3.772566],[-80.286074,-3.790027],[-80.255806,-3.832765],[-80.25258,-3.868363],[-80.26222,-3.8797],[-80.25624,-3.90286],[-80.24359,-3.89754],[-80.23312,-3.90601],[-80.22152,-3.90139],[-80.19624,-3.91145],[-80.18074,-3.92583]]]}",24,Tumbes,3,Zarumilla,3,Matapalo,MATAPALO
"{""type"":""Polygon"",""coordinates"":[[[-80.249025,-3.529609],[-80.37883,-3.494611],[-80.342299,-3.623125],[-80.277937,-3.6369],[-80.19716,-3.61771],[-80.18877,-3.59793],[-80.2131,-3.58925],[-80.21812,-3.57298],[-80.21034,-3.55873],[-80.226914,-3.535602],[-80.249025,-3.529609]]]}",24,Tumbes,3,Zarumilla,4,Papayal,PAPAYAL
"{""type"":""Polygon"",""coordinates"":[[[-80.225463,-3.432938],[-80.245894,-3.418629],[-80.260215,-3.412596],[-80.270096,-3.414955],[-80.292359,-3.408805],[-80.307961,-3.392945],[-80.327287,-3.436832],[-80.344457,-3.459404],[-80.37883,-3.494611],[-80.249025,-3.529609],[-80.268271,-3.492297],[-80.26979,-3.47922],[-80.28244,-3.46594],[-80.26348,-3.45555],[-80.263434,-3.445817],[-80.225463,-3.432938]]]}",24,Tumbes,3,Zarumilla,1,Zarumilla,ZARUMILLA
