geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-70.303682,-17.236111],[-70.30269,-17.19813],[-70.30528,-17.18133],[-70.30319,-17.15585],[-70.295586,-17.147049],[-70.28708,-17.10604],[-70.30889,-17.06335],[-70.3185,-17.05567],[-70.35466,-17.042629],[-70.347186,-17.062146],[-70.356293,-17.077572],[-70.357475,-17.102953],[-70.369309,-17.126406],[-70.363525,-17.151537],[-70.345916,-17.17419],[-70.34112,-17.19724],[-70.35747,-17.22467],[-70.35509,-17.25267],[-70.36004,-17.26343],[-70.37819,-17.27789],[-70.38809,-17.29128],[-70.41496,-17.30562],[-70.43039,-17.3314],[-70.43725,-17.33462],[-70.411783,-17.347381],[-70.396263,-17.33988],[-70.367965,-17.308012],[-70.355598,-17.304664],[-70.338687,-17.293168],[-70.33542,-17.277379],[-70.305592,-17.244039],[-70.303682,-17.236111]]]}",23,Tacna,2,Candarave,2,Cairani,CAIRANI
"{""type"":""Polygon"",""coordinates"":[[[-70.35466,-17.042629],[-70.356545,-17.032512],[-70.374295,-17.022404],[-70.37735,-17.009297],[-70.401504,-16.990805],[-70.425957,-16.994412],[-70.439146,-17.001835],[-70.460785,-16.997881],[-70.463238,-17.00861],[-70.453753,-17.017309],[-70.444084,-17.045627],[-70.449579,-17.081292],[-70.479986,-17.084409],[-70.491856,-17.091374],[-70.495135,-17.110344],[-70.516869,-17.142859],[-70.527799,-17.168308],[-70.550021,-17.185761],[-70.55633,-17.19788],[-70.572508,-17.194109],[-70.454271,-17.300643],[-70.452965,-17.31949],[-70.43725,-17.33462],[-70.43039,-17.3314],[-70.41496,-17.30562],[-70.38809,-17.29128],[-70.37819,-17.27789],[-70.36004,-17.26343],[-70.35509,-17.25267],[-70.35747,-17.22467],[-70.34112,-17.19724],[-70.345916,-17.17419],[-70.363525,-17.151537],[-70.369309,-17.126406],[-70.357475,-17.102953],[-70.356293,-17.077572],[-70.347186,-17.062146],[-70.35466,-17.042629]]]}",23,Tacna,2,Candarave,3,Camilaca,ALTO CAMILACA
"{""type"":""Polygon"",""coordinates"":[[[-70.146625,-16.93873],[-70.148372,-16.92187],[-70.177306,-16.916188],[-70.181289,-16.93212],[-70.200969,-16.94401],[-70.211336,-16.9436],[-70.225106,-16.958551],[-70.247182,-16.952444],[-70.259306,-16.920523],[-70.259066,-16.902033],[-70.252277,-16.889421],[-70.243768,-16.860242],[-70.223084,-16.856088],[-70.216865,-16.843314],[-70.184067,-16.834687],[-70.181554,-16.817157],[-70.19426,-16.818107],[-70.205574,-16.808125],[-70.225502,-16.809531],[-70.252836,-16.798885],[-70.269797,-16.770567],[-70.291857,-16.781345],[-70.307611,-16.773047],[-70.323676,-16.782994],[-70.378037,-16.803242],[-70.38523,-16.815871],[-70.399689,-16.818797],[-70.409394,-16.830191],[-70.441605,-16.841227],[-70.450371,-16.860322],[-70.450119,-16.8801],[-70.442018,-16.893125],[-70.451752,-16.900006],[-70.451691,-16.913121],[-70.459191,-16.922738],[-70.464723,-16.945684],[-70.443475,-16.962053],[-70.452027,-16.9864],[-70.460785,-16.997881],[-70.439146,-17.001835],[-70.425957,-16.994412],[-70.401504,-16.990805],[-70.37735,-17.009297],[-70.374295,-17.022404],[-70.356545,-17.032512],[-70.35466,-17.042629],[-70.3185,-17.05567],[-70.30889,-17.06335],[-70.28708,-17.10604],[-70.295586,-17.147049],[-70.30319,-17.15585],[-70.30528,-17.18133],[-70.30269,-17.19813],[-70.303682,-17.236111],[-70.282528,-17.231675],[-70.28418,-17.279328],[-70.269043,-17.292744],[-70.25975,-17.290279],[-70.24843,-17.297682],[-70.219527,-17.299191],[-70.224424,-17.318314],[-70.218529,-17.341742],[-70.194381,-17.324305],[-70.168129,-17.316195],[-70.156253,-17.321665],[-70.142398,-17.314531],[-70.128746,-17.319209],[-70.112588,-17.315066],[-70.100402,-17.304867],[-70.093315,-17.290048],[-70.101357,-17.272764],[-70.107062,-17.245939],[-70.114418,-17.235602],[-70.099061,-17.217334],[-70.101898,-17.201258],[-70.096221,-17.186705],[-70.099348,-17.164764],[-70.095307,-17.122886],[-70.086755,-17.109825],[-70.080898,-17.0895],[-70.070004,-17.081183],[-70.07715,-17.047973],[-70.073152,-17.034914],[-70.081955,-17.022262],[-70.099638,-17.006009],[-70.09577,-16.985226],[-70.117092,-16.972609],[-70.118777,-16.960113],[-70.13342,-16.94527],[-70.146625,-16.93873]]]}",23,Tacna,2,Candarave,1,Candarave,CANDARAVE
"{""type"":""Polygon"",""coordinates"":[[[-70.274608,-17.389261],[-70.277594,-17.373244],[-70.27236,-17.364995],[-70.28266,-17.34539],[-70.305507,-17.33761],[-70.320076,-17.335945],[-70.338143,-17.341471],[-70.363387,-17.374385],[-70.379607,-17.384592],[-70.390076,-17.385836],[-70.405449,-17.399189],[-70.400514,-17.421234],[-70.3504,-17.44993],[-70.345787,-17.46074],[-70.32579,-17.44677],[-70.324147,-17.439396],[-70.307249,-17.424266],[-70.281113,-17.410353],[-70.283468,-17.397814],[-70.274608,-17.389261]]]}",23,Tacna,2,Candarave,4,Curibaya,CURIBAYA
"{""type"":""Polygon"",""coordinates"":[[[-70.269043,-17.292744],[-70.28418,-17.279328],[-70.282528,-17.231675],[-70.303682,-17.236111],[-70.305592,-17.244039],[-70.33542,-17.277379],[-70.338687,-17.293168],[-70.355598,-17.304664],[-70.367965,-17.308012],[-70.396263,-17.33988],[-70.411783,-17.347381],[-70.363387,-17.374385],[-70.338143,-17.341471],[-70.320076,-17.335945],[-70.305507,-17.33761],[-70.307912,-17.331838],[-70.282027,-17.315187],[-70.278732,-17.301725],[-70.269043,-17.292744]]]}",23,Tacna,2,Candarave,5,Huanuara,HUANUARA
"{""type"":""Polygon"",""coordinates"":[[[-70.218529,-17.341742],[-70.224424,-17.318314],[-70.219527,-17.299191],[-70.24843,-17.297682],[-70.25975,-17.290279],[-70.269043,-17.292744],[-70.278732,-17.301725],[-70.282027,-17.315187],[-70.307912,-17.331838],[-70.305507,-17.33761],[-70.28266,-17.34539],[-70.27236,-17.364995],[-70.277594,-17.373244],[-70.274608,-17.389261],[-70.264574,-17.388143],[-70.263383,-17.378236],[-70.243801,-17.358713],[-70.225578,-17.357775],[-70.218529,-17.341742]]]}",23,Tacna,2,Candarave,6,Quilahuani,QUILAHUANI
"{""type"":""Polygon"",""coordinates"":[[[-70.43725,-17.33462],[-70.452965,-17.31949],[-70.454271,-17.300643],[-70.572508,-17.194109],[-70.609978,-17.214504],[-70.618867,-17.209166],[-70.652414,-17.209498],[-70.684221,-17.22498],[-70.688318,-17.239636],[-70.701195,-17.2546],[-70.704279,-17.267205],[-70.715917,-17.273652],[-70.707857,-17.294488],[-70.730009,-17.318226],[-70.746139,-17.349532],[-70.752404,-17.380573],[-70.7356,-17.40123],[-70.73931,-17.41196],[-70.751151,-17.422381],[-70.75463,-17.437578],[-70.77998,-17.4506],[-70.78767,-17.46028],[-70.760918,-17.471289],[-70.755051,-17.464129],[-70.732146,-17.454465],[-70.703605,-17.437717],[-70.685363,-17.444164],[-70.68227,-17.45341],[-70.65971,-17.46442],[-70.630035,-17.455275],[-70.6334,-17.48288],[-70.63218,-17.49718],[-70.64072,-17.50801],[-70.6404,-17.52128],[-70.64757,-17.5297],[-70.649758,-17.552584],[-70.63456,-17.56988],[-70.62533,-17.57341],[-70.603568,-17.56723],[-70.569215,-17.542738],[-70.556037,-17.536488],[-70.532891,-17.534957],[-70.520553,-17.544826],[-70.508896,-17.54534],[-70.446833,-17.515907],[-70.43414,-17.500031],[-70.428283,-17.483342],[-70.405335,-17.478378],[-70.392249,-17.46431],[-70.373465,-17.459555],[-70.345787,-17.46074],[-70.3504,-17.44993],[-70.400514,-17.421234],[-70.405449,-17.399189],[-70.390076,-17.385836],[-70.379607,-17.384592],[-70.363387,-17.374385],[-70.411783,-17.347381],[-70.43725,-17.33462]]]}",23,Tacna,3,Jorge Basadre,2,Ilabaya,ILABAYA
"{""type"":""Polygon"",""coordinates"":[[[-70.716439,-17.778096],[-70.788519,-17.762764],[-70.809707,-17.743439],[-70.806284,-17.730785],[-70.810402,-17.717699],[-70.843154,-17.703275],[-70.842514,-17.686879],[-70.860973,-17.691391],[-70.897041,-17.649492],[-70.907815,-17.64722],[-70.90746,-17.66177],[-70.9125,-17.68737],[-70.93089,-17.68768],[-70.95628,-17.67596],[-70.983162,-17.684627],[-70.992996,-17.679119],[-71.016633,-17.708769],[-71.026916,-17.703875],[-71.049376,-17.708827],[-71.06054,-17.718636],[-71.073478,-17.713754],[-71.084122,-17.721276],[-71.08417,-17.736015],[-71.101135,-17.739498],[-71.103143,-17.755275],[-71.12158,-17.786],[-71.12107,-17.80146],[-71.12628,-17.81283],[-71.139444,-17.821482],[-71.105787,-17.843137],[-71.096844,-17.867725],[-71.021549,-17.88224],[-71.011006,-17.876748],[-70.97518,-17.896785],[-70.959684,-17.910666],[-70.943506,-17.913603],[-70.93907,-17.925223],[-70.923779,-17.928582],[-70.923334,-17.937789],[-70.909312,-17.941588],[-70.905736,-17.956564],[-70.890773,-17.968727],[-70.889473,-17.97652],[-70.86334,-17.9668],[-70.841495,-17.925941],[-70.839295,-17.911518],[-70.82874,-17.905927],[-70.822862,-17.893936],[-70.810014,-17.891664],[-70.790496,-17.857769],[-70.764236,-17.829002],[-70.760062,-17.818234],[-70.716439,-17.778096]]]}",23,Tacna,3,Jorge Basadre,3,Ite,ITE
"{""type"":""Polygon"",""coordinates"":[[[-70.508896,-17.54534],[-70.520553,-17.544826],[-70.532891,-17.534957],[-70.556037,-17.536488],[-70.569215,-17.542738],[-70.603568,-17.56723],[-70.62533,-17.57341],[-70.63456,-17.56988],[-70.649758,-17.552584],[-70.64757,-17.5297],[-70.6404,-17.52128],[-70.64072,-17.50801],[-70.63218,-17.49718],[-70.6334,-17.48288],[-70.630035,-17.455275],[-70.65971,-17.46442],[-70.68227,-17.45341],[-70.685363,-17.444164],[-70.703605,-17.437717],[-70.732146,-17.454465],[-70.755051,-17.464129],[-70.760918,-17.471289],[-70.78767,-17.46028],[-70.81041,-17.48644],[-70.82036,-17.49315],[-70.84376,-17.52466],[-70.85603,-17.5316],[-70.86676,-17.54738],[-70.87965,-17.55524],[-70.88408,-17.58164],[-70.89316,-17.59285],[-70.9026,-17.6195],[-70.907815,-17.64722],[-70.897041,-17.649492],[-70.860973,-17.691391],[-70.842514,-17.686879],[-70.843154,-17.703275],[-70.810402,-17.717699],[-70.806284,-17.730785],[-70.809707,-17.743439],[-70.788519,-17.762764],[-70.716439,-17.778096],[-70.697865,-17.768027],[-70.6974,-17.75685],[-70.683065,-17.719625],[-70.676078,-17.711523],[-70.655469,-17.700171],[-70.649842,-17.691033],[-70.608418,-17.656283],[-70.572588,-17.619924],[-70.514615,-17.55642],[-70.508896,-17.54534]]]}",23,Tacna,3,Jorge Basadre,1,Locumba,LOCUMBA
"{""type"":""Polygon"",""coordinates"":[[[-70.19324,-17.7756],[-70.201375,-17.762937],[-70.189584,-17.737269],[-70.153723,-17.6934],[-70.151613,-17.659318],[-70.143387,-17.631713],[-70.15183,-17.624139],[-70.150027,-17.599273],[-70.160799,-17.599467],[-70.16806,-17.61697],[-70.1621,-17.63134],[-70.16404,-17.64146],[-70.176,-17.65054],[-70.2017,-17.7003],[-70.21685,-17.71453],[-70.2237,-17.73754],[-70.25144,-17.75525],[-70.30537,-17.77724],[-70.32099,-17.79202],[-70.37289,-17.82543],[-70.3972,-17.86311],[-70.42374,-17.889834],[-70.313021,-17.945635],[-70.280139,-17.980406],[-70.265113,-17.984586],[-70.268523,-18.0051],[-70.252914,-17.994676],[-70.235,-17.99231],[-70.25492,-17.966057],[-70.257857,-17.939459],[-70.254307,-17.903129],[-70.250217,-17.887084],[-70.237107,-17.864164],[-70.23442,-17.852281],[-70.223137,-17.835982],[-70.214061,-17.810098],[-70.190234,-17.775939],[-70.19324,-17.7756]]]}",23,Tacna,1,Tacna,2,Alto de la Alianza,LA ESPERANZA
