geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-77.85732,-5.80472],[-77.87671,-5.78868],[-77.89598,-5.77889],[-77.90691,-5.76893],[-77.90838,-5.75638],[-77.918221,-5.74845],[-77.930462,-5.754797],[-77.952682,-5.78358],[-77.974309,-5.793071],[-77.9984,-5.798264],[-78.016525,-5.79241],[-78.02906,-5.793279],[-78.040313,-5.806704],[-78.058176,-5.787208],[-78.08577,-5.79225],[-78.09703,-5.80906],[-78.10229,-5.82511],[-78.09631,-5.83754],[-78.080552,-5.839719],[-78.067346,-5.829604],[-78.053506,-5.834383],[-78.040014,-5.828737],[-78.023922,-5.856792],[-78.001715,-5.864401],[-77.988533,-5.882902],[-77.976639,-5.890393],[-77.957725,-5.8784],[-77.936707,-5.882796],[-77.92341,-5.875239],[-77.914903,-5.860635],[-77.897132,-5.863069],[-77.878769,-5.870971],[-77.866317,-5.852435],[-77.864757,-5.838705],[-77.848593,-5.834593],[-77.84235,-5.82357],[-77.85732,-5.80472]]]}",1,Amazonas,3,Bongara,6,Florida,FLORIDA (POMACOCHAS)
"{""type"":""Polygon"",""coordinates"":[[[-77.9714,-5.93865],[-77.967085,-5.927757],[-77.98551,-5.92767],[-77.99352,-5.9225],[-78.02604,-5.91353],[-78.03405,-5.91518],[-78.05469,-5.90609],[-78.05824,-5.91758],[-78.07658,-5.91677],[-78.08264,-5.93368],[-78.07563,-5.94549],[-78.07879,-5.95412],[-78.06079,-5.97291],[-78.050306,-5.977174],[-78.017602,-5.974957],[-77.98412,-5.96933],[-77.97982,-5.9648],[-77.96558,-5.971208],[-77.9557,-5.958588],[-77.95919,-5.94731],[-77.9714,-5.93865]]]}",1,Amazonas,3,Bongara,7,Jazán,PEDRO RUIZ GALLO
"{""type"":""Polygon"",""coordinates"":[[[-77.81048,-5.86977],[-77.84122,-5.84267],[-77.84235,-5.82357],[-77.848593,-5.834593],[-77.864757,-5.838705],[-77.866317,-5.852435],[-77.878769,-5.870971],[-77.866402,-5.887226],[-77.862189,-5.909517],[-77.872395,-5.9238],[-77.859737,-5.949974],[-77.86409,-5.95809],[-77.859845,-5.978773],[-77.832283,-5.97144],[-77.801612,-5.992248],[-77.817971,-6.007151],[-77.834596,-6.031941],[-77.830666,-6.039615],[-77.834458,-6.064009],[-77.829633,-6.089492],[-77.818115,-6.102982],[-77.80973,-6.104695],[-77.803013,-6.118678],[-77.79054,-6.12391],[-77.79612,-6.10239],[-77.80781,-6.08093],[-77.80507,-6.03056],[-77.790486,-6.022553],[-77.780164,-5.995501],[-77.772788,-5.988546],[-77.774503,-5.974317],[-77.797407,-5.953224],[-77.799042,-5.929188],[-77.789732,-5.914973],[-77.7923,-5.89886],[-77.79625,-5.88613],[-77.81048,-5.86977]]]}",1,Amazonas,3,Bongara,1,Jumbilla,JUMBILLA
"{""type"":""Polygon"",""coordinates"":[[[-77.74483,-5.94494],[-77.75537,-5.92518],[-77.7923,-5.89886],[-77.789732,-5.914973],[-77.799042,-5.929188],[-77.797407,-5.953224],[-77.774503,-5.974317],[-77.74483,-5.94494]]]}",1,Amazonas,3,Bongara,8,Recta,RECTA
"{""type"":""Polygon"",""coordinates"":[[[-77.86409,-5.95809],[-77.88604,-5.94853],[-77.91249,-5.95298],[-77.93159,-5.94771],[-77.94162,-5.95315],[-77.95919,-5.94731],[-77.9557,-5.958588],[-77.96558,-5.971208],[-77.97982,-5.9648],[-77.97025,-5.9833],[-77.945185,-5.98575],[-77.929366,-5.990997],[-77.91429,-5.984487],[-77.900356,-5.996936],[-77.894616,-6.01893],[-77.899573,-6.031426],[-77.877139,-6.051219],[-77.854424,-6.053762],[-77.842408,-6.064816],[-77.834458,-6.064009],[-77.830666,-6.039615],[-77.834596,-6.031941],[-77.817971,-6.007151],[-77.801612,-5.992248],[-77.832283,-5.97144],[-77.859845,-5.978773],[-77.86409,-5.95809]]]}",1,Amazonas,3,Bongara,9,San Carlos,SAN CARLOS
"{""type"":""Polygon"",""coordinates"":[[[-77.976639,-5.890393],[-77.988533,-5.882902],[-78.001715,-5.864401],[-78.023922,-5.856792],[-78.040014,-5.828737],[-78.053506,-5.834383],[-78.067346,-5.829604],[-78.080552,-5.839719],[-78.09631,-5.83754],[-78.10249,-5.85206],[-78.11873,-5.87241],[-78.1224,-5.89108],[-78.13522,-5.89424],[-78.1308,-5.90256],[-78.12737,-5.91618],[-78.10059,-5.91985],[-78.07658,-5.91677],[-78.05824,-5.91758],[-78.05469,-5.90609],[-78.03405,-5.91518],[-78.02604,-5.91353],[-77.99352,-5.9225],[-77.98551,-5.92767],[-77.967085,-5.927757],[-77.9714,-5.93865],[-77.96101,-5.91776],[-77.976639,-5.890393]]]}",1,Amazonas,3,Bongara,10,Shipasbamba,SHIPASBAMBA
"{""type"":""Polygon"",""coordinates"":[[[-77.899573,-6.031426],[-77.909264,-6.025283],[-77.93779,-6.03777],[-77.93107,-6.05263],[-77.92135,-6.06089],[-77.91139,-6.06894],[-77.90392,-6.09208],[-77.89095,-6.10269],[-77.87609,-6.10249],[-77.86139,-6.11922],[-77.84145,-6.12865],[-77.82232,-6.13036],[-77.79054,-6.12391],[-77.803013,-6.118678],[-77.80973,-6.104695],[-77.818115,-6.102982],[-77.829633,-6.089492],[-77.834458,-6.064009],[-77.842408,-6.064816],[-77.854424,-6.053762],[-77.877139,-6.051219],[-77.899573,-6.031426]]]}",1,Amazonas,3,Bongara,11,Valera,VALERA (SAN PABLO)
"{""type"":""Polygon"",""coordinates"":[[[-77.708323,-5.150824],[-77.720856,-5.140455],[-77.745285,-5.133018],[-77.955515,-5.399721],[-77.954679,-5.418359],[-77.943275,-5.422055],[-77.937143,-5.451672],[-77.931362,-5.460813],[-77.932564,-5.490943],[-77.941423,-5.489395],[-77.974548,-5.508326],[-77.99127,-5.51408],[-77.98491,-5.57581],[-77.99563,-5.5834],[-78.01239,-5.6115],[-78.103973,-5.755043],[-78.076357,-5.769426],[-78.08577,-5.79225],[-78.058176,-5.787208],[-78.040313,-5.806704],[-78.02906,-5.793279],[-78.016525,-5.79241],[-77.9984,-5.798264],[-77.974309,-5.793071],[-77.952682,-5.78358],[-77.930462,-5.754797],[-77.918221,-5.74845],[-77.90838,-5.75638],[-77.90691,-5.76893],[-77.89598,-5.77889],[-77.87671,-5.78868],[-77.85732,-5.80472],[-77.848236,-5.77929],[-77.828827,-5.776355],[-77.818036,-5.789052],[-77.805708,-5.785798],[-77.787432,-5.794219],[-77.770355,-5.788143],[-77.760741,-5.769227],[-77.772242,-5.752865],[-77.761711,-5.742366],[-77.759359,-5.729848],[-77.765906,-5.716029],[-77.775148,-5.710752],[-77.773707,-5.685207],[-77.754365,-5.658998],[-77.752606,-5.637578],[-77.738919,-5.622166],[-77.736891,-5.605139],[-77.765762,-5.538982],[-77.757113,-5.516004],[-77.77157,-5.493921],[-77.770637,-5.478153],[-77.750833,-5.46419],[-77.749011,-5.458092],[-77.768451,-5.438049],[-77.74672,-5.413787],[-77.744828,-5.406899],[-77.712703,-5.416411],[-77.695958,-5.411053],[-77.702787,-5.380688],[-77.696227,-5.373441],[-77.68805,-5.346352],[-77.682066,-5.338396],[-77.686199,-5.302467],[-77.692747,-5.283589],[-77.69308,-5.267685],[-77.709832,-5.23974],[-77.723016,-5.234566],[-77.73956,-5.212597],[-77.727537,-5.200898],[-77.708243,-5.190907],[-77.695978,-5.16366],[-77.708323,-5.150824]]]}",1,Amazonas,3,Bongara,12,Yambrasbamba,YAMBRASBAMBA
"{""type"":""Polygon"",""coordinates"":[[[-77.70329,-6.02553],[-77.71853,-6.01407],[-77.72855,-6.00001],[-77.72854,-5.99087],[-77.74319,-5.96119],[-77.74483,-5.94494],[-77.774503,-5.974317],[-77.772788,-5.988546],[-77.780164,-5.995501],[-77.756824,-6.005475],[-77.739516,-6.027292],[-77.713822,-6.044816],[-77.70329,-6.02553]]]}",1,Amazonas,1,Chachapoyas,2,Asunción,ASUNCION
"{""type"":""Polygon"",""coordinates"":[[[-77.892815,-6.734124],[-77.905073,-6.714525],[-77.906881,-6.702227],[-77.919483,-6.690257],[-77.935967,-6.689789],[-77.941833,-6.702975],[-77.972308,-6.717668],[-78.001025,-6.721212],[-78.00886,-6.74296],[-78.035334,-6.742708],[-78.035821,-6.749917],[-78.020425,-6.791938],[-78.014905,-6.831913],[-78.028309,-6.842689],[-78.013405,-6.851744],[-78.000793,-6.867258],[-78.005481,-6.893598],[-78.000623,-6.909779],[-77.96955,-6.91247],[-77.952752,-6.907914],[-77.943286,-6.897898],[-77.931754,-6.900466],[-77.916443,-6.913963],[-77.905289,-6.903666],[-77.8775,-6.892088],[-77.87606,-6.872225],[-77.879008,-6.834619],[-77.888068,-6.829174],[-77.884481,-6.80764],[-77.889986,-6.795619],[-77.880339,-6.782865],[-77.88316,-6.760262],[-77.879404,-6.747458],[-77.892815,-6.734124]]]}",1,Amazonas,1,Chachapoyas,3,Balsas,BALSAS
