geometry,CCDD,Departamento,CCPP,Provincia,CCDI,Distrito,Capital
"{""type"":""Polygon"",""coordinates"":[[[-76.402123,-12.769396],[-76.43859,-12.775789],[-76.484642,-12.77256],[-76.501776,-12.768367],[-76.510857,-12.745293],[-76.506692,-12.730195],[-76.509235,-12.712255],[-76.517242,-12.701505],[-76.541757,-12.693882],[-76.556838,-12.697008],[-76.564609,-12.683793],[-76.583205,-12.714295],[-76.597492,-12.721666],[-76.604592,-12.737054],[-76.616781,-12.725457],[-76.630084,-12.721777],[-76.635684,-12.743338],[-76.599437,-12.781617],[-76.567609,-12.803146],[-76.559916,-12.820852],[-76.529861,-12.839668],[-76.51543,-12.860336],[-76.518025,-12.870844],[-76.506439,-12.923621],[-76.471457,-12.896644],[-76.449902,-12.882303],[-76.428932,-12.880801],[-76.425148,-12.855309],[-76.427926,-12.84083],[-76.410248,-12.812955],[-76.412498,-12.803025],[-76.404982,-12.79276],[-76.402123,-12.769396]]]}",15,Lima,5,Cañete,2,Asia,ASIA
"{""type"":""Polygon"",""coordinates"":[[[-76.345998,-12.337726],[-76.372611,-12.334908],[-76.377657,-12.320994],[-76.385791,-12.317469],[-76.393828,-12.323642],[-76.399445,-12.340736],[-76.419709,-12.362163],[-76.422437,-12.373599],[-76.443142,-12.391655],[-76.452766,-12.404264],[-76.45201,-12.416814],[-76.464096,-12.439713],[-76.501593,-12.454068],[-76.511047,-12.450945],[-76.527687,-12.455713],[-76.540693,-12.473766],[-76.556103,-12.482086],[-76.571906,-12.473512],[-76.590524,-12.483744],[-76.59891,-12.496544],[-76.609039,-12.530914],[-76.625995,-12.546421],[-76.620127,-12.567821],[-76.61004,-12.57279],[-76.598891,-12.583604],[-76.587115,-12.583341],[-76.562513,-12.593395],[-76.553583,-12.59036],[-76.54137,-12.607228],[-76.545133,-12.614469],[-76.524332,-12.610268],[-76.515114,-12.586325],[-76.496183,-12.571998],[-76.479161,-12.569649],[-76.463135,-12.586555],[-76.451623,-12.586517],[-76.426188,-12.57879],[-76.409222,-12.588209],[-76.392972,-12.580276],[-76.388557,-12.557023],[-76.378213,-12.539611],[-76.367486,-12.532599],[-76.352115,-12.520018],[-76.336709,-12.483895],[-76.33681,-12.456986],[-76.321869,-12.443802],[-76.315482,-12.422809],[-76.333278,-12.416092],[-76.336367,-12.399881],[-76.345396,-12.388004],[-76.343911,-12.359956],[-76.345998,-12.337726]]]}",15,Lima,5,Cañete,3,Calango,CALANGO
"{""type"":""Polygon"",""coordinates"":[[[-76.428932,-12.880801],[-76.449902,-12.882303],[-76.471457,-12.896644],[-76.506439,-12.923621],[-76.506627,-12.947314],[-76.513807,-12.952092],[-76.503401,-12.98445],[-76.483412,-13.014822],[-76.489355,-13.030742],[-76.467965,-13.055799],[-76.443103,-13.04472],[-76.432426,-13.032256],[-76.430068,-13.010865],[-76.428887,-13.006947],[-76.428291,-12.95956],[-76.441514,-12.953758],[-76.427289,-12.902798],[-76.428932,-12.880801]]]}",15,Lima,5,Cañete,4,Cerro Azul,CERRO AZUL
"{""type"":""Polygon"",""coordinates"":[[[-76.452766,-12.404264],[-76.464433,-12.401125],[-76.475952,-12.409726],[-76.5012,-12.40065],[-76.526927,-12.365817],[-76.52507,-12.35249],[-76.537657,-12.339369],[-76.5323,-12.315399],[-76.540225,-12.306494],[-76.547501,-12.285717],[-76.557334,-12.275728],[-76.579253,-12.286529],[-76.59583,-12.314867],[-76.592305,-12.325698],[-76.596494,-12.344002],[-76.607426,-12.352894],[-76.607074,-12.369084],[-76.616682,-12.372827],[-76.633771,-12.36118],[-76.650835,-12.356157],[-76.667992,-12.36023],[-76.675338,-12.376215],[-76.683411,-12.38211],[-76.699786,-12.382972],[-76.721852,-12.396237],[-76.748072,-12.396637],[-76.756906,-12.401469],[-76.753431,-12.428828],[-76.756849,-12.445222],[-76.751916,-12.463402],[-76.756044,-12.473978],[-76.768359,-12.482352],[-76.771491,-12.493264],[-76.7908,-12.50312],[-76.784164,-12.519932],[-76.746758,-12.539121],[-76.73415,-12.548441],[-76.726111,-12.561482],[-76.703777,-12.555893],[-76.686783,-12.545516],[-76.684057,-12.534945],[-76.672782,-12.524271],[-76.669813,-12.502282],[-76.658577,-12.499152],[-76.647222,-12.488359],[-76.635626,-12.491609],[-76.628202,-12.484828],[-76.59891,-12.496544],[-76.590524,-12.483744],[-76.571906,-12.473512],[-76.556103,-12.482086],[-76.540693,-12.473766],[-76.527687,-12.455713],[-76.511047,-12.450945],[-76.501593,-12.454068],[-76.464096,-12.439713],[-76.45201,-12.416814],[-76.452766,-12.404264]]]}",15,Lima,5,Cañete,5,Chilca,CHILCA
"{""type"":""Polygon"",""coordinates"":[[[-76.252532,-12.595499],[-76.25785,-12.586184],[-76.27423,-12.583666],[-76.287118,-12.587534],[-76.29104,-12.574239],[-76.308438,-12.548512],[-76.316374,-12.547968],[-76.323219,-12.528295],[-76.33481,-12.5365],[-76.34177,-12.53108],[-76.367486,-12.532599],[-76.378213,-12.539611],[-76.388557,-12.557023],[-76.392972,-12.580276],[-76.409222,-12.588209],[-76.426188,-12.57879],[-76.451623,-12.586517],[-76.463135,-12.586555],[-76.479161,-12.569649],[-76.496183,-12.571998],[-76.515114,-12.586325],[-76.524332,-12.610268],[-76.545133,-12.614469],[-76.546929,-12.632239],[-76.55996,-12.642876],[-76.569959,-12.658805],[-76.570994,-12.678466],[-76.564609,-12.683793],[-76.556838,-12.697008],[-76.541757,-12.693882],[-76.517242,-12.701505],[-76.509235,-12.712255],[-76.506692,-12.730195],[-76.510857,-12.745293],[-76.501776,-12.768367],[-76.484642,-12.77256],[-76.43859,-12.775789],[-76.402123,-12.769396],[-76.389164,-12.762246],[-76.381839,-12.765572],[-76.336875,-12.745648],[-76.324314,-12.749016],[-76.309285,-12.745969],[-76.295928,-12.725255],[-76.299554,-12.715343],[-76.290635,-12.68943],[-76.28498,-12.68456],[-76.288129,-12.654457],[-76.275011,-12.651292],[-76.252532,-12.595499]]]}",15,Lima,5,Cañete,6,Coayllo,COAYLLO
"{""type"":""Polygon"",""coordinates"":[[[-76.350605,-12.984781],[-76.356574,-12.982357],[-76.393006,-12.998221],[-76.401695,-13.009767],[-76.421078,-13.001323],[-76.428887,-13.006947],[-76.430068,-13.010865],[-76.40353,-13.02413],[-76.38873,-13.05273],[-76.389328,-13.060111],[-76.384484,-13.064515],[-76.367168,-13.056886],[-76.34355,-13.06783],[-76.34611,-13.10126],[-76.33697,-13.10206],[-76.32892,-13.07482],[-76.33163,-13.05361],[-76.3398,-13.04864],[-76.33605,-13.03405],[-76.34852,-13.02963],[-76.35541,-13.01917],[-76.35716,-13.00012],[-76.350605,-12.984781]]]}",15,Lima,5,Cañete,7,Imperial,IMPERIAL
"{""type"":""Polygon"",""coordinates"":[[[-75.961402,-13.001379],[-75.998974,-13.003636],[-76.013623,-13.002227],[-76.035389,-12.993817],[-76.045463,-12.986053],[-76.046965,-12.965374],[-76.052348,-12.947374],[-76.067344,-12.945318],[-76.076632,-12.929352],[-76.114456,-12.913155],[-76.148768,-12.889518],[-76.179332,-12.894605],[-76.187063,-12.925084],[-76.2075,-12.939305],[-76.212988,-12.952616],[-76.225693,-12.96808],[-76.225686,-12.987057],[-76.2369,-13.014238],[-76.229604,-13.020962],[-76.232333,-13.04055],[-76.221903,-13.052254],[-76.23271,-13.07506],[-76.2506,-13.09489],[-76.230672,-13.102305],[-76.212531,-13.099207],[-76.200252,-13.107088],[-76.177149,-13.094009],[-76.163239,-13.0902],[-76.145628,-13.104169],[-76.126607,-13.096008],[-76.11927,-13.101588],[-76.11465,-13.125928],[-76.08512,-13.13902],[-76.04943,-13.1146],[-76.011937,-13.085499],[-75.984233,-13.052874],[-75.969199,-13.041639],[-75.960816,-13.020422],[-75.961402,-13.001379]]]}",15,Lima,5,Cañete,8,Lunahuana,LUNAHUANA
"{""type"":""Polygon"",""coordinates"":[[[-76.545133,-12.614469],[-76.54137,-12.607228],[-76.553583,-12.59036],[-76.562513,-12.593395],[-76.587115,-12.583341],[-76.598891,-12.583604],[-76.61004,-12.57279],[-76.62208,-12.59506],[-76.62937,-12.61915],[-76.638611,-12.635646],[-76.64689,-12.65047],[-76.65003,-12.66708],[-76.659352,-12.676366],[-76.656531,-12.696535],[-76.64007,-12.708193],[-76.630084,-12.721777],[-76.616781,-12.725457],[-76.604592,-12.737054],[-76.597492,-12.721666],[-76.583205,-12.714295],[-76.564609,-12.683793],[-76.570994,-12.678466],[-76.569959,-12.658805],[-76.55996,-12.642876],[-76.546929,-12.632239],[-76.545133,-12.614469]]]}",15,Lima,5,Cañete,9,Mala,MALA
"{""type"":""Polygon"",""coordinates"":[[[-76.177269,-12.854369],[-76.191438,-12.832613],[-76.199366,-12.813455],[-76.242535,-12.787945],[-76.251709,-12.815925],[-76.264566,-12.82866],[-76.264384,-12.843215],[-76.257046,-12.854373],[-76.266779,-12.886272],[-76.282213,-12.917048],[-76.284184,-12.931451],[-76.296373,-12.941518],[-76.287762,-12.958802],[-76.304378,-12.981361],[-76.3055,-12.990579],[-76.321177,-12.999372],[-76.335003,-12.98688],[-76.350605,-12.984781],[-76.35716,-13.00012],[-76.35541,-13.01917],[-76.34852,-13.02963],[-76.33605,-13.03405],[-76.3398,-13.04864],[-76.33163,-13.05361],[-76.32892,-13.07482],[-76.33697,-13.10206],[-76.312107,-13.100627],[-76.282399,-13.092311],[-76.2506,-13.09489],[-76.23271,-13.07506],[-76.221903,-13.052254],[-76.232333,-13.04055],[-76.229604,-13.020962],[-76.2369,-13.014238],[-76.225686,-12.987057],[-76.225693,-12.96808],[-76.212988,-12.952616],[-76.2075,-12.939305],[-76.187063,-12.925084],[-76.179332,-12.894605],[-76.184971,-12.883937],[-76.177269,-12.854369]]]}",15,Lima,5,Cañete,10,Nuevo Imperial,NUEVO IMPERIAL
"{""type"":""Polygon"",""coordinates"":[[[-76.125424,-12.786621],[-76.141555,-12.79342],[-76.144443,-12.820425],[-76.154896,-12.825012],[-76.165195,-12.849991],[-76.177269,-12.854369],[-76.184971,-12.883937],[-76.179332,-12.894605],[-76.148768,-12.889518],[-76.114456,-12.913155],[-76.076632,-12.929352],[-76.067344,-12.945318],[-76.052348,-12.947374],[-76.046965,-12.965374],[-76.045463,-12.986053],[-76.035389,-12.993817],[-76.013623,-13.002227],[-75.998974,-13.003636],[-75.961402,-13.001379],[-75.957431,-12.969891],[-75.973445,-12.939281],[-75.974639,-12.923162],[-76.003898,-12.922412],[-76.012573,-12.921032],[-76.037166,-12.901798],[-76.042198,-12.885243],[-76.040441,-12.870445],[-76.052113,-12.852521],[-76.055477,-12.836681],[-76.063189,-12.827451],[-76.084239,-12.815214],[-76.097232,-12.801314],[-76.10657,-12.800982],[-76.125424,-12.786621]]]}",15,Lima,5,Cañete,11,Pacarán,PACARAN
